Genes,Term,Adjusted P-value,Log2FoldChange,FoldChange,Regulation
CYP1B1,Melatonin,0.004595524823877,2.60648585086941,6.09018414597829,UpRegulated
CYP1A1,Melatonin,0.004595524823877,1.3635432835192,2.57316377471471,UpRegulated
