P15018
P01100
O94907
P31431
Q01151
P41134
Q92598
O00626
Q8NI08
P53805
Q8IWB1
P25105
Q9Y5Q3
P78423
P01011
P13236
Q03169
Q9BYR8
P00749
Q9NXH8
P13501
Q9BWV7
P01584
Q9BPW5
O43557
P09919
Q6PEY1
P09603
Q06643
P05362
P30411
P35318
Q9Y662
P0DMV8
P0DMV9
Q9UQ90
O14926
P0C671
P55103
Q96NX5
P25685
Q9UIM3
Q8NCR6
P60323
P01375
Q92949
Q9Y468
P47872
P68431
Q92570
P19875
Q8WXF8
P02778
O14625
P78556
P00751
P04798
P09341
P42830
P19876
Q9BUX1
P10145
P42229
P17066
Q13491
P04141
P25963
O75558
P07996
Q9UPW8
Q8WY41
P04179
Q9NPF7
Q92730
A5A3E0
Q8IUC6
Q15818
P13500
Q99967
P21580
P10914
Q6ZUS5
Q9NYY3
O14556
P33764
Q9UFE4
P30559
P14921
Q9BYH8
P54257
P01583
Q13489
P41220
Q9H093
O00187
Q9UDY4
Q05923
Q16678
