"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","gene","gene_name"
"1",730.264146940208,-2.11944264440574,0.160111350081638,-13.2373041844009,5.34325342898353e-40,9.48748078850315e-36,"yes","gene","5997"
"2",1336.23754707613,-1.50043028357346,0.122323128699619,-12.2661208842849,1.37693575767032e-34,1.22244356565971e-30,"yes","gene","133"
"3",116.052805810651,3.88465045591814,0.329498541689188,11.7895831526395,4.41721894507602e-32,2.61440465295899e-28,"yes","gene","7124"
"4",6121.51668021963,-1.84272770160375,0.165181701983133,-11.1557616823195,6.71155689188188e-29,2.97926010430636e-25,"yes","gene","2353"
"5",1188.35945569298,-1.70005141895278,0.158140029850431,-10.7502915015299,5.90746257553358e-27,2.09785810982348e-23,"yes","gene","4576"
"6",304.32987429171,-2.30991749682681,0.222053831778977,-10.4025113114283,2.41483554495918e-25,7.14630332271586e-22,"yes","gene","4572"
"7",1611.25040408865,-1.21779078014174,0.123571173119828,-9.85497466274626,6.52331458197151e-23,1.65468533882123e-19,"yes","gene","10769"
"8",95.3581743743198,3.60666663189092,0.375967059465995,9.59303891413692,8.55280426647775e-22,1.89829490694474e-18,"yes","gene","414236"
"9",1786.58187851708,1.7410915722007,0.183128858746255,9.5074669504339,1.95361547902238e-21,3.8542662717246e-18,"yes","gene","3659"
"10",553.069268632415,-1.91249383198897,0.202314838360946,-9.45305765747604,3.29074574368913e-21,5.84304814249442e-18,"yes","gene","4569"
"11",1904.06933507444,-1.69131120700481,0.179167657099437,-9.43982432089371,3.73404931713794e-21,6.0274345159183e-18,"yes","gene","3397"
"12",123.725381455797,2.82996705515294,0.300631383915187,9.41341192758278,4.8028760391781e-21,7.10665557930386e-18,"yes","gene","1435"
"13",110.736990075495,3.07253224726102,0.335417520552017,9.16032126826401,5.17430409677389e-20,7.06730334940901e-17,"yes","gene","4050"
"14",1050.50560521525,1.37498056893948,0.154871892008993,8.87818022433432,6.79630589416146e-19,8.61965767548078e-16,"yes","gene","284454"
"15",649.703835810697,1.68014402160317,0.19155786253462,8.77094784506443,1.77168500923136e-18,2.09720260159414e-15,"yes","gene","780851"
"16",879.903326746964,1.3635432835192,0.156473424549942,8.71421640729797,2.92776634981719e-18,3.24908870670963e-15,"yes","gene","1543"
"17",3937.39381348003,1.45731402588191,0.169727167475881,8.58621543948762,8.98810519052868e-18,8.86626643127929e-15,"yes","gene","389384"
"18",5030.0373696903,-1.19016528371576,0.138533213727065,-8.59119088986555,8.60724961190291e-18,8.86626643127929e-15,"yes","gene","10808"
"19",641.118028270855,1.38354321351154,0.163986991076858,8.43690834514486,3.25841779262068e-17,3.04507717504068e-14,"yes","gene","27289"
"20",935.430516517368,4.64622612263692,0.570709450909119,8.14114102234624,3.91569984430359e-16,3.47635832177273e-13,"yes","gene","3576"
"21",1017.52662159101,-1.09633104883452,0.134865513525548,-8.1290688788786,4.32600461390589e-16,3.65773990116729e-13,"yes","gene","10370"
"22",81.0103460424165,-2.47099491103712,0.309889595467316,-7.97379114103795,1.53879506470627e-15,1.18794978995324e-12,"yes","gene","3311"
"23",43.4710972312497,5.02517728476931,0.638280812056673,7.87298817361775,3.46269397291507e-15,2.561816424295e-12,"yes","gene","1437"
"24",172.573179951289,1.6516833832792,0.210098286478752,7.86147955302928,3.79622407064497e-15,2.69623018393488e-12,"yes","gene","112268133"
"25",2959.84522604473,3.01027327604049,0.385930788839235,7.80003400375103,6.18904963950703e-15,4.2266448230418e-12,"yes","gene","2920"
"26",8532.6160574751,1.19305978331471,0.157740503391248,7.56343334568636,3.92567020050979e-14,2.48943571715185e-11,"yes","gene","4792"
"27",19286.9085155177,1.14132435045503,0.152634895583954,7.47747981278151,7.57614008752055e-14,4.63868770324189e-11,"yes","gene","6385"
"28",4613.15155446808,2.28377693282185,0.306391797678243,7.4537796054846,9.07034713806847e-14,5.36843612611812e-11,"yes","gene","64332"
"29",2440.38786638559,-1.25750213513248,0.170040647113536,-7.39530316120742,1.41086012988607e-13,8.08104273105064e-11,"yes","gene","4556"
"30",127.360411712542,4.34026401095065,0.595072246539206,7.29367574473951,3.01610837700067e-13,1.67356313568825e-10,"yes","gene","3627"
"31",687.082809501143,1.12153591819263,0.155115701657504,7.2303184410627,4.81862799495877e-13,2.59271389934812e-10,"yes","gene","148022"
"32",382.002154742627,3.36540331374543,0.47227335223619,7.12596486295579,1.0335408319837e-12,5.39751500373603e-10,"yes","gene","5328"
"33",396.793408145601,-1.07364294554551,0.152155679124574,-7.05621342379529,1.71100969646636e-12,8.68019662013046e-10,"yes","gene","79094"
"34",1318.46167870998,-1.0388395588949,0.149115306015473,-6.96668629568515,3.2449311830681e-12,1.55721616450155e-09,"yes","gene","162989"
"35",1203.5095712388,-1.13205370414472,0.163238711921453,-6.93495856968929,4.06340228226135e-12,1.84999412625212e-09,"yes","gene","84981"
"36",61.5310969141918,2.60648585086941,0.379589691756186,6.86658754828247,6.57558281881962e-12,2.84770850075515e-09,"yes","gene","1545"
"37",105.612677481793,-1.9426787282402,0.284397293149744,-6.83086223052523,8.44057644855582e-12,3.56835417667993e-09,"yes","gene","9298"
"38",35.4054871235656,3.03074080887836,0.448697592332437,6.75452879772287,1.43300204633755e-11,5.91729868250453e-09,"yes","gene","6376"
"39",98.9881622950683,1.82304952145319,0.27320158604456,6.67290972884706,2.50780663667004e-11,1.01201396910712e-08,"yes","gene","6776"
"40",114.18288315927,1.96973081406083,0.296153600000309,6.65104464054726,2.9101999053303e-11,1.14830021153433e-08,"yes","gene","105372652"
