P47871
O60812
O75581
Q9H8J5
O14602
Q9BQT9
Q8NFZ4
P15036
Q9Y5N5
O43597
Q96N96
P55854
Q86V24
Q9NS87
Q15532
O95072
P35520
Q96CW5
O43310
P12643
Q06546
Q9Y287
Q15722
O60858
P08579
O95471
P14672
Q9BX51
P78504
P01127
Q9UGH3
Q7L0Q8
Q9NV35
Q6NXT1
Q5T8P6
Q92618
P45844
Q9NVX7
Q6ICH7
Q96NM4
Q9Y463
P57057
P32745
Q9Y6E0
Q96EQ8
Q9H4H8
O95671
P19440
O76083
Q9Y6Q9
P57059
P43657
Q9Y6H8
Q7Z4H7
Q9BYT1
Q9Y2G5
O75475
O95503
Q5TBA9
Q15583
O75326
Q8WYB5
Q969W9
Q9Y5X9
Q96CX2
Q9UKT7
P17516
Q8WXH5
Q9NTW7
Q8NDY6
Q969W0
Q9NS84
P01100
O95067
P12109
Q86VN1
Q8N6M9
Q9Y2Z0
Q8WYK2
Q8IY42
Q9NWH9
O94901
Q9P1W3
P12644
Q15751
Q92871
O43570
O15230
Q12965
Q06732
O15062
Q8IWL3
Q9H9P5
Q9H788
Q9UIL8
Q9NX08
O00192
Q8IY33
Q49B96
Q8IUW5
Q9Y673
Q8NEZ3
Q5T4T1
Q16649
Q9H9V4
O94907
Q9ULC8
P31431
O75907
Q9NXC2
Q92833
Q8IZY2
Q92793
Q9NWQ8
Q99856
A6NKD9
Q7Z3Q1
Q8TF44
Q9BYB4
Q9BZR6
P24386
O95229
O94810
Q06945
Q13247
O75781
O00241
Q5TFQ8
Q08334
P35869
Q96MG2
Q8WYN0
P51580
Q8IVP5
Q15759
O43147
Q9H2L5
Q8IWQ3
Q8N6T3
Q9NWX5
P55040
Q8TEQ0
Q8WU67
Q5JSP0
Q3LI72
P48788
P09601
Q8IXJ6
Q9Y5R2
Q15035
Q96L08
Q16827
Q9NU19
Q8NC67
Q92636
Q15424
P47929
Q8N5K1
P47929
Q86UZ6
O75144
Q8IVF2
P06213
Q9Y2Q9
Q9Y657
P48551
O94941
O75113
Q9NUW8
O43474
P15498
Q15942
Q13356
Q15935
O75626
P29992
Q9Y297
Q86VR8
Q99541
Q5VZF2
Q99807
Q06730
Q96NB3
O15079
Q96MU8
Q9H190
Q6P161
Q92737
P27815
Q96L46
Q8NBS3
Q9UJA9
P21917
Q86VQ0
Q92985
Q96B33
Q9BXI6
P04899
P78563
Q7L5N7
O95147
P60022
Q6MZQ0
P49916
O95149
Q9Y6X5
Q16787
O76054
Q96B42
P48552
Q12794
Q86U06
Q14451
Q96BD6
Q8NC69
P53004
Q9Y385
Q8IWB1
Q5JS13
Q9NVM6
P49682
Q96A19
P11387
P57060
Q8N961
Q9Y5T5
P51805
Q5I7T1
Q9NY64
Q86VV8
Q15937
Q96QD8
Q9H607
Q7L1V2
O43581
Q14642
Q17RS7
Q8WYQ9
Q9BX95
Q5SVS4
Q9H361
Q8N5H7
Q8N5C6
Q8TF74
Q0VAQ4
Q9UN30
Q9H4G4
Q03933
Q9BRS8
O75600
A6NEM1
P08185
Q01650
O95900
P35398
Q99487
O75712
Q53HC5
Q3KRB8
Q9Y5Q3
P29317
Q6EMK4
Q9BQK8
Q6NXE6
Q14289
Q68DK7
Q8ND82
Q9NYF8
Q9Y6S9
Q9H0H3
P26010
Q96HH6
Q8TD23
Q16853
Q5T0W9
Q9NPG3
P05154
Q99626
Q92729
Q02080
Q8NBQ7
Q14849
Q9UPU9
Q96BD0
Q9HCG7
O15496
P57737
Q8N4S7
O95484
