"","HT-29 cells treatment sample-3","HT-29 cells treatment sample-2","HT-29 cells treatment sample-1","HT-29 cells control sample-3","HT-29 cells control sample-2","HT-29 cells control sample-1"
"LINC02061",0,0,0,0,0,0
"NPR3",172,156,107,179,156,72
"LOC124900956",0,0,0,0,0,0
"LOC124900955",0,0,0,0,0,0
"LINC02120",0,0,0,0,0,0
"LOC105374715",0,0,0,0,0,0
"LINC02160",0,0,0,0,1,0
"LOC124900637",0,0,0,0,0,0
"TARS1-DT",39,30,40,51,34,32
"TARS1",8026,6631,5996,10994,11043,4937
"LOC105374717",0,0,0,0,0,0
"ADAMTS12",3,0,0,0,0,0
"RXFP3",0,0,0,0,0,0
"SLC45A2",0,0,0,3,0,0
"AMACR",36,29,40,25,45,44
"C1QTNF3-AMACR",3,0,3,0,0,2
"C1QTNF3",32,25,24,38,33,32
"LOC646652",4,1,0,6,0,1
"LOC105374719",0,0,0,1,0,0
"LOC124900957",0,0,0,0,0,0
"LOC124900958",0,0,0,0,0,0
"LOC105374721",0,0,0,0,0,2
"RAI14-DT",0,2,1,1,0,1
"RAI14",1376,1086,884,1689,1478,629
"LOC124900960",6,2,2,1,1,0
"TTC23L-AS1",63,57,60,41,46,67
"TTC23L",60,56,57,83,62,37
"LOC124900959",1,2,1,1,0,0
"RAD1",1389,1308,1277,1688,1701,1313
"BRIX1",100,57,91,99,92,59
"LOC124900961",34,31,32,34,23,19
"DNAJC21",1469,1231,1217,1693,1418,903
"AGXT2",0,0,0,0,0,0
"PRLR",0,0,0,1,5,0
"LOC124901220",0,0,0,0,0,0
"SPEF2",141,111,115,177,82,49
"LOC105374724",0,0,0,0,0,0
"IL7R",37,20,38,20,20,12
"CAPSL",0,2,3,2,2,0
"CAPSL-DT",0,0,0,0,0,0
"UGT3A1",1,0,0,0,2,0
"UGT3A2",0,0,2,0,0,0
"LMBRD2",1109,818,886,1298,1115,524
"MIR580",0,0,0,1,3,0
"SKP2",1794,1688,1574,1921,2107,1357
"NADK2",1446,1225,1125,1581,1440,836
"NADK2-AS1",20,12,11,16,14,3
"LOC124900962",7,1,2,2,4,0
"RANBP3L",11,12,14,10,10,10
"LOC124900963",0,0,0,0,0,0
"SLC1A3",1561,1385,1211,2372,2202,1228
"SLC1A3-AS1",46,14,16,52,22,6
"NIPBL-DT",756,538,543,680,568,284
"NIPBL",1829,1301,1146,2743,1566,661
"CPLANE1",1923,1382,1140,2481,1465,623
"CPLANE1-AS1",26,43,41,13,28,31
"NUP155",3226,2675,2144,4306,3722,1834
"WDR70",899,831,899,1004,1105,785
"GDNF",0,0,0,0,0,0
"GDNF-AS1",0,0,0,0,0,0
"LINC02117",0,0,0,0,0,0
"LINC02110",0,0,0,0,0,0
"LINC02107",0,0,0,0,0,0
"LOC105374730",0,0,0,0,0,0
"LINC02119",0,0,0,0,0,0
"LOC124900966",0,0,0,0,0,0
"EGFLAM",3262,3203,3483,3126,4148,3502
"EGFLAM-AS4",0,0,0,0,0,0
"EGFLAM-AS2",0,0,0,0,0,0
"EGFLAM-AS1",0,0,0,0,0,0
"LOC124900965",12,7,6,6,14,8
"LOC105374732",72,73,85,71,104,105
"LOC124900964",89,103,152,123,122,206
"LIFR",5397,3768,3223,7611,5541,2222
"LIFR-AS1",88,87,89,86,82,45
"MIR3650",0,0,0,0,0,0
"LOC105374735",0,0,0,1,1,1
"OSMR-DT",37,23,43,63,38,35
"LINC01265",0,0,0,0,0,2
"LOC107986414",23,9,11,10,9,8
"OSMR",3863,3308,2685,4134,4089,2577
"RICTOR",1361,991,950,1650,1147,462
"FYB1",0,0,0,2,0,0
"C9",0,0,0,0,0,0
"DAB2",997,934,810,1292,1185,812
"LINC02104",0,0,0,4,0,1
"LINC00603",0,0,0,0,0,0
"LINC00604",0,0,0,0,0,0
"LOC105374736",0,0,0,0,0,0
"LOC124900967",0,0,0,0,0,0
"LOC105374737",0,0,0,0,0,0
"LOC124900196",0,0,0,0,0,0
"PTGER4",107,89,85,110,95,58
"TTC33",1497,1326,1251,1599,1548,884
"PRKAA1",2906,2270,1964,3009,2779,1344
"LOC124900968",53,37,45,55,45,14
"LOC124900202",0,0,0,0,0,0
"RPL37",24978,27028,33581,22688,28430,34378
"SNORD72",2,2,0,2,1,0
"CARD6",487,461,442,525,562,406
"C7",0,0,0,0,0,0
"MROH2B",0,0,0,0,0,0
"LOC105374739",0,0,0,0,0,0
"C6",0,0,0,0,0,0
"LOC124900969",0,0,0,0,0,0
"LOC102723740",0,0,0,0,0,0
"PLCXD3",0,0,0,0,0,0
"LOC105374740",0,0,0,0,0,0
"OXCT1",2777,2374,2358,3159,3244,1838
"LOC102723752",27,14,25,18,20,10
"OXCT1-AS1",8,3,12,4,7,6
"RIMOC1",988,840,683,1266,1088,472
"FBXO4",444,420,394,366,384,344
"LINC02996",0,0,0,0,0,0
"GHR",0,2,0,2,1,0
"CCDC152",4,0,1,0,0,0
"SELENOP",496,444,512,405,441,450
"LOC124900970",0,1,1,0,0,0
"LOC124900971",0,0,0,0,0,0
"LOC105374745",2,0,6,2,3,3
"FLJ32255",4,3,0,0,2,1
"LOC105374746",39,49,50,55,43,41
"ANXA2R-OT1",300,267,290,324,317,290
"LOC105374748",24,24,23,49,49,26
"ANXA2R",51,64,98,74,105,65
"ANXA2R-AS1",48,34,30,48,44,20
"LOC100132356",1,5,12,13,5,3
"LOC100506639",17,16,12,23,14,11
"LOC124900972",6,1,6,4,4,0
"ZNF131",1183,886,1016,1483,1228,682
"NIM1K",1,4,2,4,6,3
"HMGCS1",2195,1686,1657,2934,2566,1460
"CCL28",97,101,126,81,117,105
"TMEM267",481,380,396,753,710,297
"C5orf34-AS1",0,4,1,4,1,0
"C5orf34",439,386,289,627,555,290
"LOC124900190",33,19,17,45,18,16
"PAIP1",1873,1625,1593,1956,1795,1436
"NNT-AS1",578,459,468,817,675,363
"NNT",2211,1881,1805,2521,2606,1599
"FGF10",2,3,12,4,0,0
"FGF10-AS1",0,0,0,0,2,0
"LINC02224",0,0,0,0,0,0
"MRPS30-DT",26,9,10,11,6,19
"MRPS30",1853,1767,1767,1590,1948,1851
"LOC124901180",0,0,0,0,0,0
"HCN1",0,0,0,0,0,0
"EMB",475,409,357,531,513,246
"PARP8",495,350,336,456,392,244
"LOC124901181",0,0,0,0,0,0
"LINC02106",0,0,0,0,0,0
"LOC107986379",0,0,0,0,0,0
"LOC124901206",0,0,0,0,0,0
"ISL1-DT",1,2,3,1,3,4
"ISL1",3,2,1,2,5,0
"LOC105378959",0,0,0,0,0,0
"LINC02118",0,0,0,0,0,0
"LOC105378961",0,0,0,0,0,0
"LOC105378962",0,0,0,0,0,0
"PELO-AS1",5,1,0,9,5,0
"ITGA1",1748,1271,1031,2166,1834,772
"PELO",477,475,503,411,499,463
"ITGA2-AS1",3,5,2,3,2,0
"ITGA2",653,510,396,840,668,267
"LOC124900974",0,0,0,1,0,1
"MOCS2",746,778,800,649,746,737
"MOCS2-DT",42,40,41,48,53,39
"LOC107986380",0,0,0,0,0,0
"LOC105378965",0,0,0,0,0,0
"FST",275,267,253,345,361,222
"NDUFS4",358,328,336,387,338,341
"LOC124900975",3,1,2,5,0,1
"LINC02105",1,2,0,0,0,0
"ARL15",189,197,145,243,208,110
"MIR581",0,0,0,0,0,0
"LINC01033",0,0,0,0,0,0
"HSPB3",80,104,83,97,95,142
"SNX18",362,351,270,342,423,236
"LINC02998",0,0,0,0,0,0
"LOC105378969",0,0,0,0,0,0
"LOC124900976",0,0,0,0,0,0
"ESM1",0,0,2,1,0,0
"LOC102467081",0,0,0,0,0,0
"GZMK",0,0,0,0,0,0
"LOC105378971",0,0,0,0,0,0
"GZMA",0,0,0,0,0,0
"CDC20B",0,0,0,1,0,2
"GPX8",710,583,555,846,820,462
"MIR449A",0,0,0,0,0,0
"MIR449B",0,0,0,0,0,0
"MIR449C",0,0,0,0,0,0
"MCIDAS",33,26,18,21,46,28
"LOC124900978",17,14,15,12,24,6
"CCNO",60,43,51,65,74,64
"CCNO-DT",1,1,0,6,0,1
"DHX29",351,329,283,558,422,219
"MTREX",635,524,451,932,676,320
"LOC124900979",3,7,2,0,2,2
"LOC107986415",0,0,0,0,0,0
"LOC124900977",0,0,0,0,0,0
"PLPP1",184,201,187,152,208,186
"MIR5687",0,0,0,0,0,0
"RNF138P1",23,30,11,21,45,15
"LOC124900980",0,0,0,0,0,0
"SLC38A9",263,208,218,320,277,143
"DDX4",0,0,0,0,0,0
"IL31RA",2,0,0,0,1,0
"IL6ST",999,794,656,1368,991,319
"IL6ST-DT",3,4,2,5,8,3
"LOC124901197",0,0,0,0,0,0
"LOC105378976",0,0,0,0,0,0
"ANKRD55",0,0,1,0,3,0
"LOC101928419",4,6,0,3,3,0
"LOC105378977",0,0,2,0,0,0
"LINC01948",0,0,0,0,0,0
"C5orf67",0,0,0,0,2,0
"LOC105378979",0,0,0,0,0,0
"MAP3K1",272,222,145,306,239,152
"LOC105378980",0,0,0,0,0,0
"SETD9",61,68,77,59,66,60
"MIER3",282,245,225,427,354,148
"LOC124900981",0,0,1,0,1,0
"GPBP1",555,414,364,633,530,255
"LOC107986381",0,0,0,0,0,0
"RMEL3",0,0,0,0,0,0
"ACTBL2",3,2,4,3,15,0
"LNCBRM",0,0,0,0,0,0
"LOC124901182",0,0,0,0,0,0
"LOC101928505",0,0,0,0,0,0
"LINC02225",0,0,0,0,0,0
"LOC124901183",1,1,0,0,0,1
"LOC124901202",0,0,0,0,0,0
"LINC02101",0,0,0,0,0,0
"LOC105378983",0,0,0,0,0,0
"LOC105378984",0,0,0,0,0,0
"PLK2",988,915,885,890,759,635
"GAPT",0,0,0,0,0,0
"MIR548AE2",0,0,0,0,0,0
"LINC02108",0,0,0,0,0,0
"RAB3C",0,0,0,1,0,0
"PDE4D",1121,777,681,1213,845,376
"LOC107986347",0,2,2,2,0,0
"MIR582",0,0,0,0,0,0
"LOC105378988",3,2,1,0,0,0
"LOC107986350",0,0,0,1,0,0
"PART1",0,0,0,3,0,0
"DEPDC1B",306,236,300,353,335,195
"LOC124900982",19,7,8,11,5,17
"ELOVL7",373,270,251,429,415,206
"ERCC8",83,102,80,122,106,75
"ERCC8-AS1",0,0,3,0,0,1
"NDUFAF2",226,291,274,218,245,328
"SMIM15",710,612,609,768,701,479
"SMIM15-AS1",0,0,0,0,0,0
"LINC02057",0,0,0,0,0,0
"LOC105378993",0,0,0,0,0,0
"LOC105378994",0,0,0,0,0,0
"ZSWIM6",334,223,200,311,285,151
"C5orf64",0,0,0,0,0,0
"LOC101928651",0,0,0,0,0,0
"C5orf64-AS1",0,0,0,0,0,0
"LOC124900983",0,0,0,0,0,0
"LOC105378995",0,0,0,0,0,0
"LOC105378998",0,0,0,0,0,0
"LOC124900610",0,0,0,0,0,0
"KIF2A",528,418,362,753,631,219
"DIMT1",167,170,212,180,239,168
"IPO11",295,221,180,324,291,139
"IPO11-LRRC70",0,0,0,0,0,0
"LRRC70",0,0,1,2,0,0
"LOC107986416",0,0,0,0,0,0
"LOC105378999",0,0,0,0,0,0
"HTR1A",0,0,0,0,0,0
"RNF180",0,0,0,0,0,1
"RGS7BP",0,0,0,0,0,0
"LOC124900984",0,0,0,0,0,0
"SHISAL2B",0,0,0,0,0,0
"SREK1IP1",339,310,291,381,313,214
"LOC124900985",9,3,4,3,0,1
"CWC27",250,196,242,276,232,164
"LOC107986419",0,0,0,0,0,0
"ADAMTS6",13,11,13,20,13,9
"LOC124900986",52,41,28,116,57,24
"CENPK",349,297,297,367,315,258
"PPWD1",253,170,169,275,209,90
"TRIM23",200,165,118,201,197,77
"TRAPPC13",209,144,182,216,182,146
"SHLD3",40,44,43,71,48,45
"SGTB",154,146,170,170,171,101
"NLN",369,357,295,412,354,236
"ERBIN",1002,722,566,1062,849,311
"LOC100303749",0,0,0,0,0,0
"LOC124900212",0,0,0,2,0,0
"LOC124900987",18,12,18,4,5,4
"SREK1",675,429,494,862,588,287
"LOC401191",0,2,4,0,0,0
"LINC02065",0,0,1,0,0,2
"LOC124901219",0,0,0,0,0,0
"LOC124901205",0,0,0,0,0,0
"LOC105379004",0,0,0,0,0,0
"LOC124900988",0,2,0,0,0,0
"LOC105379003",0,0,0,0,0,0
"LOC105379002",0,0,0,0,0,0
"LINC02229",0,0,0,0,0,0
"MAST4",106,85,94,146,130,76
"MAST4-AS1",3,5,7,5,5,3
"CD180",2,0,0,0,0,0
"TILRLS",0,0,0,0,0,0
"LOC124900989",0,0,0,0,0,0
"LOC101928819",0,0,1,3,0,0
"LINC02242",0,0,0,0,0,0
"LINC02997",0,0,0,0,0,0
"LOC105379007",0,0,0,0,0,0
"LOC107986420",0,0,0,0,0,0
"LOC124900990",0,0,0,0,0,0
"LINC02219",0,0,0,0,0,0
"PIK3R1",98,70,54,149,70,42
"LOC105379013",6,2,1,2,0,0
"LOC105379012",0,0,0,0,0,0
"LOC105379011",0,0,0,0,0,0
"LOC105379010",0,0,0,0,0,0
"LOC124900991",0,0,0,0,0,0
"LOC124900198",0,0,0,0,0,0
"LOC105379015",0,0,0,0,0,0
"LOC107984116",0,0,0,0,0,0
"LINC02198",0,0,1,1,0,0
"SLC30A5",907,794,725,1023,997,626
"SNORA50D",0,0,0,0,0,0
"CCNB1",2364,2270,2419,2475,2591,2565
"LOC124901203",2,3,0,2,0,0
"LOC112267932",9,9,2,11,9,1
"CENPH",304,315,344,261,303,316
"KGD4",63,51,59,55,59,55
"CDK7",302,303,323,299,341,266
"CCDC125",163,132,161,144,165,123
"AK6",7,13,8,12,7,11
"TAF9",48,37,53,66,74,43
"RAD17",87,64,49,112,82,32
"MARVELD2",14,19,4,16,9,11
"LOC101928924",0,0,0,0,0,0
"OCLN",1,1,1,2,0,0
"SNORD13B-1",0,0,0,0,0,0
"GTF2H2C",67,74,66,99,112,64
"GUSBP3",1,1,0,1,0,0
"LOC124900997",0,1,0,0,0,0
"LOC105379623",0,0,0,0,0,0
"LOC124900996",0,0,0,0,0,0
"SERF1B",10,3,3,0,2,4
"LOC107986372",0,0,0,0,0,0
"SMN2",14,26,18,29,23,24
"GUSBP14",4,6,2,6,3,0
"LOC124900998",0,0,0,0,0,0
"LOC105379021",0,0,0,0,0,0
"GTF2H2B",36,30,29,41,46,24
"GUSBP15",0,0,2,3,1,0
"LOC441081",0,0,0,0,0,0
"LOC124900992",0,0,0,0,0,0
"LOC124900995",0,0,0,0,0,0
"LOC105379020",0,0,0,0,0,0
"LOC107986355",0,1,0,0,0,0
"GUSBP16",6,5,2,2,6,5
"LOC101929599",0,1,0,0,0,0
"SERF1A",6,9,11,16,5,7
"LOC107986373",0,0,0,0,0,0
"SMN1",71,70,83,68,72,65
"SMN-AS1",0,0,0,0,0,1
"NAIP",3,3,3,3,0,1
"LOC112267942",0,1,0,1,0,0
"GTF2H2",46,31,22,41,49,26
"OCLNP1",1,3,3,3,2,1
"SNORD13B-2",0,0,0,0,0,0
"LOC124900994",1,0,1,1,0,0
"GUSBP17",2,1,1,3,1,1
"LOC124900993",0,1,0,2,1,1
"LOC105379016",0,0,1,0,0,0
"LINC02197",0,0,0,0,0,1
"LOC105379025",0,0,0,0,0,0
"PMCHL2",0,0,0,0,0,0
"LOC107987420",0,0,0,0,0,0
"BDP1",292,173,186,397,191,103
"LOC124900999",0,0,0,0,0,0
"MCCC2",1202,1145,1035,1218,1300,1002
"CARTPT",0,0,0,0,0,0
"LOC105379027",0,0,0,0,0,0
"LOC107986382",0,0,0,0,0,0
"LOC124901000",0,0,0,0,0,0
"LOC105379028",5,4,3,9,5,1
"MAP1B",5,1,3,3,1,0
"MIR4803",0,0,0,0,0,0
"MRPS27",815,843,840,702,909,922
"LOC107986422",7,2,2,0,0,1
"PTCD2",172,142,134,228,181,82
"ZNF366",0,0,0,0,0,0
"LOC102503427",0,0,0,0,0,0
"TNPO1-DT",0,0,1,0,1,2
"TNPO1",2438,1658,1573,3207,2712,1137
"MIR4804",0,0,0,0,0,0
"FCHO2-DT",2,0,1,1,2,2
"FCHO2",184,150,165,228,189,95
"LOC124901001",0,0,0,0,0,0
"TMEM171",0,0,0,0,0,0
"LOC105379030",0,0,0,0,0,0
"TMEM174",0,0,0,0,0,0
"LOC340090",0,1,1,1,0,0
"LOC124901002",0,0,0,0,0,0
"LOC105379031",0,0,0,0,0,0
"LINC02230",0,0,0,0,0,0
"LOC107986383",0,0,1,0,0,0
"FOXD1",124,163,148,138,144,136
"LINC01386",0,0,0,0,0,1
"BTF3-DT",13,5,14,7,3,9
"BTF3",5571,5209,6153,5509,5775,6089
"ANKRA2",173,191,203,210,218,162
"UTP15",193,171,152,208,215,127
"ARHGEF28",158,138,97,179,201,83
"LOC107986423",0,0,0,0,0,0
"LOC105379034",0,0,0,0,0,0
"LOC124901003",0,0,0,0,0,0
"LINC02122",0,0,0,0,0,0
"LOC105379035",0,0,0,0,0,0
"LOC124901004",0,0,0,0,0,0
"LINC01335",0,0,0,0,0,0
"LINC01333",0,0,0,0,0,0
"LINC01331",0,0,0,0,0,0
"LOC124901005",0,0,0,0,0,0
"ENC1",62,38,53,84,68,60
"HEXB",2508,2391,2278,2807,2979,2065
"GFM2",765,674,722,727,683,585
"NSA2",1414,1271,1596,1322,1543,1334
"FAM169A",90,64,62,122,109,28
"FAM169A-AS1",3,0,0,0,2,0
"LOC124900209",0,0,0,2,0,0
"LOC105379039",0,0,0,0,0,0
"LOC105379040",0,0,0,0,0,0
"GCNT4",57,31,31,51,55,22
"ANKRD31",3,12,5,14,5,2
"LOC124901006",0,0,0,0,0,0
"LOC124901007",1,0,0,2,0,0
"HMGCR",596,464,466,830,872,393
"CERT1",193,155,136,225,212,86
"POLK",332,248,261,363,294,120
"ANKDD1B",1,2,2,2,0,0
"POC5",79,68,76,114,90,80
"LOC441087",16,10,4,10,11,5
"SV2C",0,0,0,0,0,0
"SV2C-AS1",0,0,0,0,0,0
"LOC105379042",0,0,0,0,0,0
"IQGAP2",94,58,46,82,64,36
"LOC101929109",0,0,0,0,0,0
"F2RL2",0,1,0,1,2,0
"NCRUPAR",0,0,0,0,0,0
"F2R",269,213,231,262,267,151
"LOC124901199",0,0,0,0,0,0
"F2RL1",127,101,115,88,132,68
"S100Z",0,0,0,0,0,0
"CRHBP",0,0,0,0,0,0
"AGGF1",412,402,392,559,435,223
"ZBED3",303,246,190,387,362,209
"SNORA47",1,1,0,0,0,2
"PDE8B",208,175,178,205,199,124
"ZBED3-AS1",11,6,6,20,4,3
"LOC124901008",0,0,0,0,0,0
"WDR41",610,457,480,520,577,388
"LOC124901009",0,1,0,0,0,1
"OTP",0,0,1,0,2,0
"TBCA",1418,1565,1883,1476,1474,1650
"LOC101929154",0,0,0,1,0,0
"AP3B1",1067,821,794,1129,1090,570
"LOC124901010",0,0,0,0,0,0
"SCAMP1-AS1",69,51,63,63,72,68
"SCAMP1",740,608,592,855,720,357
"LHFPL2",401,321,303,319,297,203
"LOC124900191",0,1,0,0,0,0
"ARSB",146,159,120,182,199,136
"DMGDH",0,0,0,0,3,0
"BHMT2",0,0,0,0,0,0
"BHMT",0,0,0,1,0,0
"LOC124901012",0,0,0,0,0,2
"LOC124901011",3,15,8,1,3,9
"LOC124900205",0,0,0,0,0,0
"JMY",362,262,230,512,421,133
"LOC102724530",2,0,0,0,4,0
"LOC101929201",1,0,0,5,0,0
"HOMER1",189,168,136,194,179,100
"LOC107986426",0,0,0,2,0,0
"LOC124901013",0,0,0,0,0,0
"LOC105379047",0,0,0,0,0,0
"LOC124901014",1,0,0,0,0,3
"TENT2",357,275,225,383,338,175
"CMYA5",13,8,11,11,10,12
"LOC102724557",0,0,0,0,0,0
"LOC105379048",0,0,0,0,0,0
"LINC01455",0,0,0,0,0,0
"MTX3",269,186,142,387,278,104
"THBS4",2,3,1,1,6,3
"THBS4-AS1",0,0,0,0,0,0
"SERINC5",235,216,185,232,296,199
"LOC124901201",0,0,0,0,0,0
"LOC644936",44,49,41,41,29,36
"LOC124900204",0,0,0,0,0,0
"LOC124901015",0,0,0,0,0,0
"SPZ1",0,0,0,0,0,0
"CRSP8P",135,128,159,115,88,130
"ZFYVE16",723,525,485,820,681,369
"FAM151B-DT",61,47,80,42,46,63
"FAM151B",12,9,16,14,7,6
"ANKRD34B",1,0,0,0,0,0
"LINC01337",0,0,2,2,1,0
"DHFR",1174,1067,1141,1201,1273,999
"MSH3",253,212,200,328,235,145
"LOC107986428",5,6,0,5,4,0
"RASGRF2-AS1",0,0,0,0,0,0
"RASGRF2",14,13,12,16,15,9
"LOC124901017",2,15,3,8,10,3
"CKMT2",1,0,1,3,3,0
"CKMT2-AS1",57,58,43,50,60,37
"ZCCHC9",259,257,203,235,272,162
"ACOT12",6,4,1,4,4,2
"SSBP2",191,226,214,152,149,155
"LOC107986384",0,0,0,0,0,0
"LOC107986385",0,0,0,0,0,0
"LOC124901018",1,0,0,0,0,0
"ATG10",135,105,131,127,105,78
"RPS23",5456,5070,6605,5520,6211,7217
"ATP6AP1L",95,88,77,69,41,31
"LOC124901019",0,0,0,0,0,0
"LOC105379050",0,0,0,0,0,0
"LOC124901020",0,0,0,0,0,0
"MIR3977",0,0,0,0,0,0
"LINC01338",0,0,0,0,0,0
"LOC107986430",0,0,0,0,0,0
"LOC105379051",0,0,1,1,2,0
"LOC105379052",13,6,6,6,9,3
"TMEM167A",846,724,681,1012,855,577
"SCARNA18",0,0,0,0,1,0
"XRCC4",117,94,122,126,107,87
"LOC105379053",0,0,0,0,0,0
"VCAN",0,0,0,0,0,0
"VCAN-AS1",0,0,0,0,0,0
"LOC124901021",0,0,0,0,0,0
"HAPLN1",0,0,0,0,0,0
"LOC107986386",0,0,0,0,0,0
"EDIL3",725,580,545,761,774,401
"EDIL3-DT",6,6,3,6,6,12
"LOC105379059",0,0,0,0,1,0
"LOC101929321",0,0,0,0,0,0
"LOC105379061",1,1,1,0,2,0
"LOC105379062",0,2,2,1,4,2
"LOC105379063",0,0,0,0,0,0
"NBPF22P",11,7,2,11,4,5
"LOC105379064",0,0,0,0,0,2
"COX7C",3462,3435,4415,2865,3601,4862
"SNORD138",0,0,0,0,0,0
"LINC02059",0,0,0,0,0,0
"MIR4280HG",0,0,0,0,0,0
"LOC645261",0,0,0,0,0,0
"LOC105379065",0,0,0,0,0,0
"MIR4280",0,0,0,0,0,0
"LOC101929380",0,0,0,0,0,0
"LINC01949",0,0,0,0,0,0
"RASA1",179,153,88,213,168,75
"LOC124901022",5,2,1,0,4,0
"CCNH",311,295,307,363,322,211
"LOC644285",9,15,16,20,10,3
"LOC105379066",0,0,0,1,0,0
"LINC02144",0,0,0,0,0,0
"LINC02488",0,0,0,0,0,0
"LOC124901023",0,0,0,0,0,0
"LOC105379070",0,0,0,0,0,0
"TMEM161B",275,232,248,304,264,143
"TMEM161B-DT",40,31,33,33,29,35
"LOC124900200",0,0,0,0,0,0
"LINC02060",0,0,0,0,0,0
"MIR9-2HG",0,0,0,0,0,0
"MIR9-2",0,0,0,0,0,0
"MEF2C-AS2",0,0,0,0,0,0
"GSCAR",0,0,0,0,0,0
"MEF2C",0,1,0,1,2,0
"MEF2C-AS1",0,0,0,0,0,0
"LOC105379074",0,0,0,0,0,0
"LOC105379073",0,0,0,0,0,0
"LOC107986387",0,0,0,0,0,0
"LINC02161",0,0,0,0,0,0
"LOC124901184",0,0,0,0,0,0
"LOC102724637",0,0,0,0,0,0
"MIR3660",0,0,0,0,0,0
"LINC01339",0,0,0,0,0,0
"CETN3",131,132,157,144,116,92
"LOC731157",2,0,1,2,2,0
"MBLAC2",116,107,107,128,141,100
"POLR3G",80,85,62,92,88,55
"LYSMD3",281,189,188,316,250,154
"ADGRV1",0,5,3,2,0,2
"LOC105379077",0,0,0,0,0,0
"LOC107986432",0,0,1,1,0,0
"LOC107986433",0,0,0,0,0,0
"LUCAT1",59,56,27,59,18,25
"ARRDC3",1483,1224,956,1749,1187,593
"ARRDC3-AS1",5,5,1,7,4,5
"LOC107986434",0,2,1,1,2,0
"LOC105379078",0,0,0,0,0,0
"LOC105379080",0,0,0,0,0,0
"LOC105379082",0,0,0,0,0,0
"LINC02058",0,0,0,0,0,0
"LOC107986388",0,0,0,0,0,0
"LOC124901025",0,0,0,0,0,0
"LOC105379083",0,0,0,0,0,0
"NR2F1-AS1",192,228,237,270,278,175
"LOC124901026",3,5,2,2,1,0
"NR2F1",1395,1346,1229,1493,1688,1174
"LOC124901027",3,7,3,4,2,5
"ARB2A",10737,10149,11358,10985,11061,9092
"MIR2277",0,0,0,0,0,0
"LOC124901028",2,9,5,6,0,3
"POU5F2",4,0,0,2,0,0
"LOC105379087",0,1,1,0,1,0
"KIAA0825",130,122,114,184,158,88
"SLF1",1882,1480,1661,2438,1858,1238
"MCTP1",289,247,245,466,303,167
"LOC105379085",0,0,0,0,0,0
"LOC105379089",0,0,0,0,0,0
"FAM81B",0,0,1,2,0,0
"SKIC3",1121,742,801,1590,1047,415
"ARSK",173,123,141,285,207,130
"GPR150",0,0,0,0,0,0
"LOC112267933",0,0,0,0,0,0
"RFESD",29,24,22,34,18,29
"SPATA9",11,4,3,14,9,3
"LOC105379090",0,0,0,0,0,0
"RHOBTB3",1053,781,646,1255,1160,413
"GLRX",563,647,715,432,516,685
"LOC124901029",9,5,8,4,7,4
"LOC102724720",1,0,3,2,2,2
"LINC01554",3,3,1,7,7,6
"LOC105379091",4,7,6,17,15,6
"ELL2",2507,1966,1748,2521,2102,1197
"CAST",3644,3167,2737,4665,3720,2446
"LOC101929710",0,0,0,0,0,0
"LOC105379096",0,0,0,0,0,0
"MIR583",0,0,0,0,0,0
"LOC105379675",0,0,0,0,0,0
"LOC124901032",0,1,2,0,0,0
"LOC107986365",0,2,0,0,0,0
"LOC124901034",0,1,0,0,0,0
"PCSK1",54,51,60,78,104,45
"LOC107986363",18,16,16,27,15,6
"ERAP1",823,735,619,970,872,558
"LOC124901031",8,7,2,13,10,3
"LOC124901033",0,5,1,3,0,1
"ERAP2",64,34,47,53,42,23
"LOC124901030",0,0,0,0,0,0
"LNPEP",519,431,290,711,554,217
"LIX1-AS1",0,0,0,0,0,0
"LIX1",0,0,0,1,0,0
"RIOK2",348,230,292,448,296,221
"LINC01340",0,0,0,0,0,1
"LINC02234",0,0,0,0,0,0
"LINC01846",0,0,0,0,0,0
"RGMB",92,56,72,132,144,70
"RGMB-AS1",0,0,0,0,0,0
"LOC105379099",0,0,0,0,0,0
"CHD1",665,426,484,920,639,261
"CHD1-DT",0,0,0,0,0,2
"LOC100289230",17,22,8,17,20,8
"LOC107986436",0,0,0,1,0,0
"LINC02113",0,0,0,0,0,0
"LOC105379101",0,1,2,2,0,0
"GUSBP19",0,0,0,0,0,0
"LOC105379100",0,0,0,1,1,0
"FAM174A-DT",0,4,1,5,1,1
"FAM174A",477,478,563,367,482,475
"ST8SIA4",29,28,25,51,33,23
"MIR548P",0,0,0,0,0,0
"LOC107986437",2,3,1,9,5,4
"LOC107986438",0,0,0,0,2,0
"LOC105379102",0,1,0,0,0,0
"SLCO4C1",0,0,0,2,0,0
"SLCO6A1",0,0,0,0,0,0
"LOC124901035",0,0,0,0,0,0
"LOC124901036",0,0,0,0,0,0
"LINC00492",0,0,0,0,0,0
"LINC00491",0,0,0,2,0,0
"LOC105379104",0,0,0,0,0,0
"PAM",4877,4225,4026,4792,4832,3466
"LOC105379105",0,0,0,0,0,0
"GIN1",124,111,157,145,123,106
"PPIP5K2",927,612,654,1232,856,327
"LOC124901037",0,0,0,0,0,0
"MACIR",556,432,441,603,626,343
"LINC02115",0,0,0,0,0,0
"NUDT12",640,645,616,669,630,437
"LOC105379107",0,0,0,1,0,0
"LOC101930276",0,0,0,0,0,0
"NIHCOLE",20,20,20,23,21,14
"LOC105379109",4,2,0,5,0,0
