"","HT-29 cells treatment sample-3","HT-29 cells treatment sample-2","HT-29 cells treatment sample-1","HT-29 cells control sample-3","HT-29 cells control sample-2","HT-29 cells control sample-1"
"LOC105378605",0,0,0,0,0,0
"LOC124903828",0,2,5,0,0,2
"LOC105378604",0,0,0,0,0,0
"ARHGEF16",346,329,377,269,331,380
"MEGF6",829,767,900,641,559,579
"LOC105378608",0,2,0,0,0,0
"MIR551A",0,0,0,0,0,0
"TPRG1L",1105,1148,1221,1028,1189,1402
"WRAP73",437,487,518,407,510,521
"TP73",203,217,230,228,257,277
"TP73-AS3",0,0,1,0,0,0
"TP73-AS2",0,0,1,0,0,0
"GFOD3P",424,423,437,385,383,366
"CCDC27",2,2,5,2,0,4
"SMIM1",16,18,38,11,18,40
"LRRC47",812,782,817,673,847,887
"CEP104",656,624,523,700,750,525
"LOC124903829",4,11,4,6,5,7
"DFFB",131,148,107,136,149,132
"C1orf174",300,330,295,311,363,343
"LINC01134",6,7,9,8,4,7
"LINC01346",0,0,0,0,0,0
"LINC01345",0,0,0,1,0,0
"LINC02780",16,11,27,29,34,17
"LINC01777",0,0,0,1,0,0
"LOC105376674",0,0,0,0,0,0
"LOC124904578",0,0,0,0,0,0
"LINC01646",0,0,0,0,0,0
"AJAP1",19,10,29,13,19,12
"LINC02781",0,0,0,0,0,0
"LOC124904589",0,0,0,0,0,0
"LOC102724429",0,0,0,0,0,0
"LINC02782",0,0,0,0,0,0
"LOC105376682",0,0,0,0,0,0
"LOC124904590",0,0,0,0,0,0
"LOC107984911",0,0,0,0,0,0
"LOC105376686",0,0,0,0,0,0
"LOC124900451",0,0,0,0,0,0
"LOC124903830",0,0,0,0,0,0
"MIR4689",0,0,0,0,0,0
"NPHP4",283,241,244,218,232,250
"KCNAB2",203,168,181,172,175,193
"LOC124903831",2,4,0,2,3,5
"CHD5",24,25,31,23,12,26
"RPL22",5026,4566,4600,5009,5658,4986
"RNF207-AS1",5,7,5,2,3,4
"RNF207",259,222,231,289,165,157
"ICMT",3540,3554,3519,3673,4343,3525
"ICMT-DT",100,83,119,69,79,67
"HES3",0,0,0,0,0,0
"GPR153",283,305,354,285,305,326
"ACOT7",927,959,1167,909,980,1362
"HES2",148,150,162,154,160,152
"ESPN",13,14,9,6,4,7
"MIR4252",0,0,0,0,0,0
"TNFRSF25",32,27,24,32,26,29
"PLEKHG5",182,182,190,170,159,199
"NOL9",382,359,323,445,413,351
"TAS1R1",5,0,5,0,1,3
"LOC107984912",0,0,0,0,0,0
"ZBTB48",192,155,191,169,183,200
"KLHL21",670,652,618,730,804,930
"LOC107984913",3,2,1,9,2,3
"PHF13",704,735,691,626,648,728
"THAP3",166,192,214,165,176,242
"DNAJC11",990,979,1005,968,1020,1049
"LINC01672",0,0,0,0,0,0
"LOC124904847",0,0,0,0,0,0
"CAMTA1-DT",4,12,5,5,12,7
"CAMTA1",1060,1040,1181,1039,963,1205
"LOC124903832",12,3,7,20,5,0
"CAMTA1-AS3",0,0,0,0,0,0
"LOC124900385",0,0,0,0,0,0
"CAMTA1-AS2",0,0,0,0,0,0
"CAMTA1-AS1",0,1,0,0,0,2
"LOC105376691",0,0,0,0,0,0
"LOC105376689",48,20,26,45,37,16
"VAMP3",3166,2850,2603,3255,3367,2528
"PER3",457,305,286,534,436,195
"LOC124903833",6,2,0,3,4,2
"UTS2",1,0,0,0,0,0
"TNFRSF9",4,9,10,15,15,12
"PARK7",3994,4144,5064,3771,4097,4756
"LOC124903834",13,6,13,15,5,5
"ERRFI1",3901,3797,2785,3372,3307,1924
"ERRFI1-DT",9,12,13,8,8,12
"LOC107984915",3,3,4,4,3,3
"LINC01714",0,0,0,0,0,0
"LOC105376695",0,0,0,1,0,0
"LOC124903835",0,0,0,0,1,0
"SLC45A1",14,14,6,19,8,11
"RERE",640,591,489,767,677,447
"RERE-AS1",0,0,0,0,0,0
"SNORD128",0,0,0,0,0,0
"LOC124900452",0,0,0,0,0,0
"ENO1",54853,59167,70440,41721,44119,68257
"MIR6728",0,1,0,0,0,0
"ENO1-AS1",10,13,29,14,15,31
"LOC112268261",0,0,0,0,0,0
"CA6",0,0,0,1,0,0
"SLC2A7",10,9,14,3,10,9
"SLC2A5",77,66,90,61,68,79
"LOC124900441",0,0,0,0,0,0
"GPR157",462,456,394,444,429,550
"MIR34AHG",157,118,166,184,152,157
"MIR34A",0,0,0,0,0,0
"LNCTAM34A",66,66,83,58,72,81
"H6PD",693,613,612,526,574,535
"LOC124903836",1,5,1,6,5,0
"SPSB1",239,289,266,252,269,279
"LINC02606",8,11,20,4,5,5
"SLC25A33",365,363,324,326,402,343
"TMEM201",401,379,395,411,414,515
"LOC124903837",1,3,1,8,2,4
"PIK3CD",191,193,204,173,206,160
"LOC105376712",0,0,0,0,0,0
"PIK3CD-AS1",0,0,0,0,0,0
"PIK3CD-AS2",7,20,24,12,14,16
"LOC124903839",0,0,0,0,0,0
"CLSTN1",3412,3356,3207,3302,3548,3337
"CTNNBIP1",522,520,601,446,522,582
"LOC105376717",0,0,0,2,0,0
"LOC124903838",6,4,4,5,2,1
"LZIC",920,799,749,1094,1064,712
"NMNAT1",383,339,388,456,433,325
"TMEM274P",2,2,0,1,3,0
"MIR5697",2,0,0,0,0,0
"LOC124903840",0,0,0,0,0,0
"RBP7",725,750,926,567,785,829
"UBE4B",1274,1080,932,1378,1380,952
"KIF1B",925,766,607,1274,1086,532
"PGD",2517,2487,2751,2489,2747,3244
"CENPS-CORT",1,3,0,2,0,2
"CENPS",24,22,21,44,33,38
"CORT",0,2,3,1,3,0
"DFFA",1634,1567,1490,1872,1802,1425
"PEX14",330,267,348,292,309,427
"CASZ1",147,122,83,116,139,126
"LOC105376733",0,0,0,0,0,0
"LOC105376735",0,1,0,0,0,0
"C1orf127",0,0,0,0,0,0
"TARDBP",2899,2673,2383,3499,3324,2090
"MASP2",22,24,30,40,16,3
"SRM",1421,1362,1614,1325,1399,2037
"EXOSC10",1454,1323,1401,1581,1696,1319
"EXOSC10-AS1",6,6,5,6,16,13
"MTOR",1266,1213,947,1417,1517,1057
"MTOR-AS1",0,0,0,0,0,0
"LOC124904848",0,0,0,0,0,0
"ANGPTL7",0,0,0,0,0,0
"UBIAD1",428,348,438,412,487,477
"LOC105376737",0,0,0,0,0,0
"LOC105376739",0,0,0,0,0,0
"LOC105376740",0,0,0,0,0,0
"LOC124903841",0,0,0,0,0,0
"DISP3",8,11,3,6,10,12
"LOC124903842",0,0,0,0,0,0
"LINC01647",0,2,2,3,2,2
"FBXO2",1635,1783,2256,1317,1629,2433
"FBXO44",323,342,409,346,331,405
"FBXO6",165,210,277,136,205,257
"MAD2L2",1142,1080,1335,973,1191,1589
"DRAXIN",4,6,2,1,6,5
"AGTRAP",637,684,850,605,663,945
"C1orf167",0,0,0,0,0,0
"C1orf167-AS1",0,0,0,0,0,0
"MTHFR",151,133,188,182,171,157
"CLCN6",133,92,107,143,138,81
"NPPA-AS1",0,1,2,3,0,1
"NPPA",0,0,0,1,0,1
"NPPB",0,2,5,0,1,2
"RNU5E-1",0,1,0,0,0,1
"LOC124903843",0,1,1,0,0,2
"KIAA2013",772,816,966,715,839,1070
"PLOD1",3031,3010,3324,2258,2615,3281
"MFN2",2138,2124,2034,1837,2327,2232
"MIIP",210,205,224,172,220,306
"MIR6729",0,0,0,0,0,0
"TNFRSF8",0,0,0,2,0,0
"MIR7846",0,0,0,0,0,0
"TNFRSF1B",216,216,215,150,216,199
"LOC124903844",0,1,1,0,0,0
"MIR4632",0,0,0,0,0,0
"VPS13D",725,520,414,938,819,356
"LOC124903845",0,0,0,0,0,0
"SNORA59A",2,2,1,2,2,3
"LINC02766",0,0,0,0,0,0
"DHRS3",750,838,838,621,560,813
"MIR6730",3,0,0,2,0,0
"AADACL4",0,0,0,0,0,0
"LOC124903846",0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0
"LOC124904811",0,0,0,0,0,0
"CFAP107",0,0,0,0,0,0
"PRAMEF12",0,0,0,0,0,0
"PRAMEF1",0,0,0,0,0,0
"LINC01784",0,0,0,0,0,0
"PRAMEF11",0,0,0,0,0,0
"HNRNPCL1",0,0,0,0,0,0
"PRAMEF2",0,0,0,0,0,0
"PRAMEF4",0,0,0,0,0,0
"PRAMEF10",0,0,0,0,0,0
"PRAMEF7",0,0,0,0,0,0
"PRAMEF6",0,0,1,0,0,0
"PRAMEF27",0,0,0,0,0,0
"HNRNPCL3",0,0,0,0,0,0
"PRAMEF25",0,0,0,0,0,0
"PRAMEF34P",0,0,0,0,0,0
"HNRNPCL2",0,0,1,0,0,0
"PRAMEF36P",0,0,0,0,0,0
"PRAMEF26",0,0,0,0,0,0
"HNRNPCL4",0,0,1,0,0,1
"PRAMEF9",0,0,0,0,0,0
"PRAMEF13",0,0,0,0,0,0
"PRAMEF18",0,0,0,0,0,0
"PRAMEF5",0,0,0,0,0,0
"PRAMEF8",0,0,0,0,0,0
"PRAMEF33",0,0,0,0,0,0
"PRAMEF15",0,0,0,0,0,0
"PRAMEF14",0,0,0,0,0,0
"PRAMEF19",0,0,0,0,0,0
"PRAMEF17",0,0,0,0,0,0
"PRAMEF20",0,0,0,0,0,0
"LRRC38",2,0,0,2,2,0
"LOC102724856",0,0,0,0,0,0
"LOC107984918",0,0,0,0,0,0
"PDPN",0,5,6,1,0,0
"LOC105378612",0,0,0,0,0,0
"LOC105376756",0,0,0,0,0,0
"LOC124900446",0,0,0,0,0,0
"PRDM2",276,225,207,389,327,185
"KAZN",110,132,108,130,168,112
"LOC107985467",0,0,0,0,0,0
"LOC124903847",0,0,0,0,0,0
"KAZN-AS1",0,0,0,0,2,0
"LOC124903850",0,0,0,0,0,0
"LOC105376759",0,0,0,0,0,0
"LOC124903848",0,0,0,0,0,0
"LOC107985469",0,0,0,0,0,1
"LOC124903849",0,0,0,0,0,0
"TMEM51-AS1",3,2,2,4,7,3
"TMEM51",102,102,124,132,119,125
"TMEM51-AS2",0,1,0,1,0,0
"FHAD1",21,24,23,26,18,19
"LOC124903853",38,35,33,48,35,62
"LOC124903852",9,9,24,18,18,17
"FHAD1-AS1",6,3,8,8,5,5
"LOC124903851",0,0,0,1,0,0
"EFHD2-AS1",5,7,14,4,10,7
"EFHD2",1616,1666,2162,1453,1550,2179
"CTRC",1,0,0,0,2,0
"CELA2A",0,1,0,0,0,0
"LOC105376767",0,0,1,2,2,0
"CELA2B",3,3,3,7,10,5
"CASP9",744,787,837,829,1040,1174
"DNAJC16",348,281,239,430,393,305
"SCARNA21B",0,0,0,0,0,0
"AGMAT",297,291,277,253,290,264
"LOC124903854",0,1,0,2,3,0
"DDI2",346,248,211,532,446,138
"RSC1A1",0,0,0,1,0,0
"PLEKHM2",677,696,727,647,829,874
"SLC25A34",1,0,0,2,9,2
"SLC25A34-AS1",1,1,0,0,0,0
"TMEM82",0,0,0,0,0,0
"FBLIM1",555,555,510,479,538,642
"UQCRHL",1601,1727,2183,1393,1680,2010
"SPEN-AS1",34,50,62,36,40,58
"SPEN",899,644,560,1153,1020,555
"LOC124904815",0,0,0,0,0,0
"ZBTB17",98,121,143,82,112,130
"LOC124903855",4,2,2,0,3,2
"SRARP",0,0,0,0,0,0
"HSPB7",0,0,4,3,0,2
"CLCNKA",7,6,13,10,8,10
"CLCNKB",75,87,106,55,58,74
"FAM131C",82,90,113,84,79,87
"EPHA2",1387,1352,1414,1086,1286,1225
"EPHA2-AS1",55,71,69,92,55,76
"ARHGEF19",15,14,14,6,9,14
"ANO7L1",1,0,0,1,0,0
"CPLANE2",3,2,2,2,4,2
"FBXO42",18,14,12,18,23,14
"SZRD1",575,608,622,490,527,619
"SPATA21",0,0,0,0,0,0
"NECAP2",155,132,179,103,152,152
"LINC01772",4,1,1,7,3,0
"CROCCP3",10,7,12,10,6,6
"RNU1-1",3,0,5,2,3,0
"TRN-GTT5-1",0,0,0,0,0,0
"LINC01783",0,0,0,0,0,0
"TRE-TTC4-1",0,0,0,0,0,0
"LOC124903856",0,0,0,0,0,0
"TRG-CCC1-1",0,0,0,0,0,0
"NBPF1",199,172,152,257,267,150
"LOC124900584",18,16,21,22,16,12
"CROCCP2",4,3,1,1,1,1
"MST1P2",8,3,2,5,1,2
"RNU1-3",0,0,0,0,0,0
"LOC124903857",0,0,0,0,0,0
"TRG-CCC4-1",0,0,0,0,0,0
"ESPNP",0,0,0,0,0,0
"LOC124903858",0,0,0,0,0,0
"TRG-CCC5-1",0,0,0,0,0,0
"LOC124903859",11,8,7,4,7,4
"RNU1-4",0,0,0,0,0,0
"MST1L",0,0,1,2,2,0
"MIR3675",0,0,0,0,0,0
"TRG-CCC1-2",0,0,0,0,0,0
"LOC112267871",0,0,0,0,0,0
"TRE-TTC3-1",0,0,0,0,0,0
"LOC105376805",1,1,3,2,2,0
"TRN-GTT4-1",0,0,0,0,0,0
"RNU1-2",2,0,0,1,0,1
"CROCC",30,37,42,36,53,23
"MFAP2",54,69,77,45,67,64
"LOC105376806",1,1,0,1,1,0
"ATP13A2",284,255,290,255,268,329
"SDHB",564,584,681,451,547,657
"PADI2",1,2,0,1,1,4
"LOC124903861",0,0,0,0,0,0
"LOC105376808",0,0,0,0,0,0
"LINC02783",0,0,0,0,0,0
"PADI1",2,3,5,0,2,4
"PADI3",0,0,0,2,0,0
"MIR3972",0,0,0,0,0,0
"PADI4",0,0,0,0,0,0
"PADI6",0,0,0,0,0,0
"RCC2",290,280,274,297,321,288
"RCC2-AS1",0,0,0,0,0,0
"LOC124903862",0,1,1,1,0,0
"LOC124904837",0,0,0,0,0,0
"ARHGEF10L",156,160,146,137,187,160
"LINC02810",0,0,0,0,0,0
"ACTL8",32,31,14,28,25,38
"LOC105376809",0,0,0,0,0,0
"LOC105376812",0,0,0,0,0,0
"LINC01654",0,0,0,0,0,0
"IGSF21",0,0,0,0,0,0
"IGSF21-AS1",0,0,0,0,0,0
"LOC124903864",0,0,0,0,0,0
"LOC124903863",0,1,0,0,0,0
"LOC124903865",0,0,0,0,0,0
"KLHDC7A",75,58,66,73,93,77
"PAX7",0,0,0,0,0,0
"TAS1R2",0,0,0,0,0,0
"ALDH4A1",198,196,221,184,202,245
"MIR4695",0,0,0,0,0,0
"MIR1290",0,0,0,0,0,0
"LOC124903866",0,1,0,1,1,0
"IFFO2",340,279,299,324,311,322
"LOC105376815",0,0,2,0,0,0
"UBR4",2254,1869,1525,2407,2249,1581
"EMC1-AS1",11,19,14,19,15,19
"EMC1",1090,1009,924,1102,1201,960
"MRTO4",925,886,995,792,918,1126
"AKR7L",30,18,18,27,26,26
"AKR7A3",3,5,7,6,2,2
"LOC124903867",15,22,15,21,22,11
"LOC100506730",53,59,48,122,66,48
"AKR7A2",737,702,855,554,718,992
"SLC66A1",193,210,215,233,220,255
"CAPZB",2718,2993,3471,2616,2705,3184
"LOC124903868",0,0,0,0,0,0
"LOC124903869",0,0,0,0,0,0
"LOC105376819",0,0,4,0,1,0
"LOC105376818",0,0,0,0,0,0
"LOC105376817",0,0,0,0,0,0
"LOC124904816",0,0,0,0,0,0
"MICOS10-DT",1,0,0,0,1,0
"MICOS10-NBL1",0,0,0,0,0,0
"MICOS10",673,617,768,666,729,690
"RPS14P3",15,4,7,40,15,1
"NBL1",12,6,14,7,18,13
"HTR6",22,34,19,13,15,24
"TMCO4",285,274,339,259,284,282
"RNF186",0,0,0,0,0,0
"RNF186-AS1",0,0,0,0,0,0
"LOC105376823",0,0,0,0,0,0
"OTUD3",225,142,144,231,172,111
"PLA2G2E",0,0,0,0,0,0
"PLA2G2A",1,0,0,0,0,0
"PLA2G5",0,0,0,0,0,0
"PLA2G2D",0,0,0,0,0,0
"PLA2G2F",0,0,0,0,0,0
"LOC117779438",0,0,0,1,0,0
"PLA2G2C",0,0,0,0,0,0
"UBXN10",7,7,14,3,3,2
"LOC105376825",0,0,4,1,0,2
"LOC105376826",4,1,0,6,4,0
"LINC01757",0,0,0,0,0,0
"LOC105376828",0,0,0,0,0,0
"VWA5B1",0,0,0,0,0,0
"LOC124903870",0,0,0,0,0,0
"LINC01141",0,0,0,0,0,0
"LOC124903871",0,0,0,0,0,0
"CAMK2N1",1700,1556,1637,1715,1580,1500
"MUL1",411,458,528,411,473,528
"FAM43B",112,109,116,96,123,155
"CDA",1928,2206,2735,1383,1514,2503
"PINK1",692,775,879,605,737,988
"MIR6084",0,0,0,0,0,0
"PINK1-AS",28,23,24,31,47,22
"DDOST",3117,3287,3586,2714,3455,3709
"KIF17",39,35,24,28,37,29
"SH2D5",1,0,0,5,1,0
"HP1BP3",2415,2125,1918,2655,2336,1684
"EIF4G3",1083,779,682,1276,1071,519
"LOC105376830",0,0,0,1,0,0
"LOC105376829",0,0,0,0,1,0
"MIR1256",0,0,0,0,0,0
"ECE1",983,950,863,883,968,872
"LOC124903872",0,0,0,0,0,0
"ECE1-AS1",1,0,0,2,1,1
"LOC105376832",0,0,0,0,0,0
"NBPF3",185,180,193,171,209,162
"ALPL",1,1,0,2,1,0
"LINC02596",3,0,0,0,0,0
"RAP1GAP",281,261,266,269,256,288
"USP48",1049,772,679,1257,1080,562
"LDLRAD2",3,0,1,1,0,0
"HSPG2",1280,995,991,1040,1148,1014
"CELA3B",0,0,0,0,0,0
"CELA3A",0,0,0,0,0,0
"LINC01635",5,2,7,2,9,5
"LINC00339",262,259,346,260,318,327
"CDC42",4715,4657,4808,4484,4692,4592
"WNT4",2,19,14,21,25,28
"LOC105376845",6,3,5,2,3,3
"LOC105376850",0,1,2,0,0,0
"LOC107985377",0,0,1,0,0,0
"MIR4418",0,0,0,0,0,0
"LOC105376856",0,0,0,0,0,0
"ZBTB40",530,366,361,589,513,332
"EPHA8",7,5,12,4,3,3
"MIR6127",0,0,0,0,0,0
"C1QA",0,0,0,0,0,0
"C1QC",0,0,0,0,0,0
"C1QB",0,0,0,0,0,0
"EPHB2",190,201,197,181,213,168
"MIR4684",0,0,0,0,0,0
"MIR4253",0,0,0,0,0,0
"LOC124903874",0,0,0,0,0,0
"LACTBL1",0,0,0,0,0,0
"TEX46",0,2,6,2,2,3
"KDM1A",2453,2281,2329,2263,2374,2297
"MIR3115",0,0,0,0,0,0
"LUZP1",934,825,723,1099,1071,778
"HTR1D",144,119,124,131,115,138
"LINC01355",35,29,50,69,19,8
"HNRNPR",3311,2857,2822,3917,3885,2300
"ZNF436",206,185,134,253,242,116
"ZNF436-AS1",26,15,25,34,18,14
"TCEA3",411,388,479,345,392,479
"LOC124903875",7,1,1,2,0,3
"ASAP3",210,233,205,187,226,232
"E2F2",322,301,295,322,361,324
"LOC101928163",0,0,1,0,1,0
"LOC124903876",1,2,3,5,1,1
"LOC105376859",15,24,16,26,17,24
"ID3",658,579,725,346,503,665
"LOC107984928",2,7,3,1,0,0
"MDS2",0,0,2,0,0,0
"RPL11",12217,11194,14230,10583,12545,11332
"ELOA",979,820,790,955,1055,817
"ELOA-AS1",29,22,17,29,46,34
"PITHD1",621,638,697,568,596,637
"LOC105376860",0,0,2,2,0,0
"LYPLA2",409,408,524,340,456,497
"GALE",814,907,1082,606,766,1088
"HMGCL",624,618,665,436,538,608
"LOC105376861",5,10,5,4,5,9
"FUCA1",2778,2578,2661,2458,3027,2513
"CNR2",0,2,2,0,0,0
"MIR378F",0,0,0,0,0,0
"LOC124903877",0,0,0,0,0,0
"PNRC2",1388,1283,1195,1829,1681,924
"SRSF10",1921,1490,1647,2387,2219,1245
"LOC105378615",0,0,0,0,0,0
"LOC105376863",3,1,0,1,1,0
"LOC107984931",0,0,0,0,0,0
"MYOM3",0,0,0,0,0,0
