Gene
CSF3
IRF1
CXCL8
HSPA1A
NFKBIA
HSPA1B
CX3CL1
IL1A
CCL2
CCL4
CCL22
IL1B
CFB
SDC4
SOD2
IL23A
NFKBIZ
ICAM1
PTAFR
TNF
FOS
CSF2
ETS1
CCL20
ADM
CYP1A1
MASP2
BIRC3
CXCL5
TICAM1
DNAJB1
CXCL10
PLAU
TNFAIP3
POTEF
STX11
CCL5
CXCL1
CXCL2
LTB
