Gene
SOD2
TICAM1
CSF2
IL1A
ETS1
ICAM1
SDC4
STX11
TNFAIP3
CCL22
IRF1
CYP1A1
CXCL8
CXCL1
CX3CL1
CXCL10
LTB
NFKBIZ
DNAJB1
PTAFR
CXCL2
NFKBIA
ADM
CCL20
PLAU
CXCL5
HSPA1A
CFB
TNF
HSPA1B
CCL5
CCL4
BIRC3
POTEF
CCL2
MASP2
CSF3
IL1B
IL23A
FOS
