"","Caco-2 cells of no treatment group-1","Caco-2 cells of no treatment group-2","Caco-2 cells of no treatment group-3","Caco-2 cells of B. subtilis CW14 treatment group-1","Caco-2 cells of B. subtilis CW14 treatment group-2","Caco-2 cells of B. subtilis CW14 treatment group-3"
"100287102",0.98371931897432,1.02885872175571,1.79200439199219,1.12610692118105,2.12891397013962,2.69082538457969
"653635",511.534045866646,636.863548766786,537.601317597657,477.469334580766,643.996475967235,561.485563582295
"102466751",12.7883511466662,13.3751633828243,14.3360351359375,11.2610692118105,20.2246827163264,21.5266030766375
"100996442",12.7883511466662,22.6348918786257,11.6480285479492,19.1438176600779,21.2891397013962,17.041894102338
"729737",31.4790182071782,36.0100552614499,43.0081054078125,36.0354214777937,29.8047955819547,37.6715553841156
"102725121",0,2.05771744351143,0.896002195996094,4.50442768472421,3.19337095520943,8.96941794859896
"102723897",584.329275470746,789.134639586632,828.802031296387,702.690718816977,931.399861936083,719.347319477636
"102465909",6.88603523282024,8.2308697740457,7.16801756796875,4.50442768472421,8.51565588055847,8.07247615373906
"107985721",5.90231591384592,5.14429360877856,1.79200439199219,4.50442768472421,2.12891397013962,0.896941794859896
"112268260",6.88603523282024,6.17315233053428,8.96002195996094,4.50442768472421,6.38674191041885,5.38165076915937
"100132287",107.225405768201,124.491905332441,122.752300851465,104.727943669838,101.123413581632,120.190200511226
"113219467",3301.36203447782,3531.04313306561,4046.34591711836,3234.17907763198,5066.81524893229,2892.63728842316
"81399",0,1.02885872175571,1.79200439199219,3.37832076354316,2.12891397013962,1.79388358971979
"100133331",146.574178527174,145.069079767556,130.81632061543,112.610692118105,110.70352644726,154.273988715902
"107984841",21.641825017435,22.6348918786257,18.816046115918,23.6482453448021,19.1602257312566,33.1868464098161
"107984847",18.6906670605121,19.5483157133585,23.2960570958985,37.1615283989747,30.8692525670245,36.7746135892557
"107984849",1.96743863794864,1.02885872175571,1.79200439199219,4.50442768472421,4.25782794027924,8.07247615373906
"100288069",24.592982974358,29.8369029309157,26.8800658798828,23.6482453448021,38.3204514625131,34.9807299995359
"105378580",7.86975455179456,10.2885872175571,10.7520263519531,6.75664152708632,25.5469676416754,9.86635974345885
"400728",1.96743863794864,5.14429360877856,7.16801756796875,1.12610692118105,1.06445698506981,2.69082538457969
"79854",35.4138954830755,41.1543488702285,33.1520812518555,43.918169926061,71.3186179996772,59.1981584607531
"643837",137.720704656405,119.347611723663,131.712322811426,102.475729827476,136.250494088936,121.087142306086
"284600",5.90231591384592,10.2885872175571,6.27201537197266,6.75664152708632,2.12891397013962,13.4541269228984
"100130417",2.95115795692296,1.02885872175571,0.896002195996094,1.12610692118105,0,3.58776717943958
"148398",111.160283044098,98.7704372885484,97.6642393635743,84.4580190885789,133.057123133726,90.5911212808495
"26155",1116.52142703585,1209.93785678472,1248.13105902256,1209.43883334845,1169.83822659172,1140.90996306179
"339451",231.174039958965,299.397888030912,235.648577546973,288.283371822349,337.43286426713,342.63176563648
"84069",260.685619528195,247.954951943127,275.968676366797,307.427189482427,282.081101043499,330.971522303302
"84808",56.0720011815362,69.9623930793885,60.9281493277344,65.3142014285011,63.8674191041885,69.064518204212
"57801",1243.42121918354,1615.30819315647,1528.57974636934,1542.76648201804,1681.8420364103,1289.80230100853
"9636",388.569130994856,546.323981252283,560.001372497559,554.044605221078,722.7662928624,499.596579736962
"375790",5015.00108813108,5768.81085288428,5746.06208292295,5892.91751854045,7229.79184259414,5813.07977248698
"100288175",115.095160319995,118.318753001907,116.480285479492,136.258937462907,170.313117611169,144.407628972443
