Genes,Term,Adjusted P-value,Log2FoldChange,FoldChange,Regulation
DHRS9,Retinol,0.0313889678948545,1.62790933191817,3.09064795662149,UpRegulated
DGAT1,Retinol,0.0313889678948545,1.58163198041641,2.99308236561558,UpRegulated
RDH13,Retinol,0.0313889678948545,1.34913311552371,2.54759000249903,UpRegulated
DHRS3,Retinol,0.0313889678948545,-1.14920034785036,2.21790926809551,DownRegulated
