"","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h"
"54540",1307,1526,969,1762
"107986488",130,150,111,149
"54732",2935,3691,3015,2414
"11285",422,483,427,242
"202181",95,138,122,68
"728554",637,841,517,540
"100128340",14,25,36,26
"23138",526,651,486,499
"64777",1244,1532,1587,960
"55651",1823,2450,2088,1585
"3182",5718,7662,5623,3692
"85007",1335,1761,1719,1342
"57396",249,296,302,241
"6940",307,323,447,416
"729522",157,175,180,67
"117608",116,175,164,183
"80108",8,16,23,14
"9509",233,297,215,135
"80230",610,798,784,480
"101928445",76,102,132,67
"3187",11175,14403,10189,9196
"105377763",23,42,34,16
"646019",4,8,17,13
"821",14613,18308,16622,17924
"9794",1775,2113,1767,881
"4056",16,22,25,26
"11282",2257,2798,2769,2461
"8878",8282,10705,10789,19485
"51149",678,880,812,1396
"100996419",21,13,37,28
"23061",3198,4212,5065,4843
"55819",771,1005,724,811
"255426",54,75,58,14
"5601",1395,1871,1065,1120
"9945",817,943,729,626
"102725231",8,17,13,2
"57472",2692,3362,2338,1943
"2324",11,10,5,2
"4245",1774,2382,1965,1285
"100859930",178,228,154,164
"729678",145,225,170,140
"643836",491,577,621,456
"153579",500,588,490,531
"105377769",14,42,32,31
"81786",350,476,422,408
"107986496",48,68,75,59
"90933",1590,2037,1890,1862
"10399",23318,30658,28260,24450
"619571",104,116,93,85
"619570",30,18,50,36
"101928649",83,105,159,111
"84851",392,525,487,474
"100507602",100,95,91,159
"105377771",112,141,97,127
"107986495",27,56,39,38
"100132062",244,361,225,246
"56940",416,455,325,372
"55770",979,1217,1201,1062
"94234",32,30,8,5
"101927703",8,17,39,8
"2296",1019,1437,2277,825
"2762",356,584,463,343
"107986513",36,61,61,42
"100508120",19,17,36,26
"154386",14,18,21,28
"340156",522,672,434,309
"56897",2159,2895,1846,1299
"1992",2233,3005,2391,2920
"221756",21,34,46,13
"101927730",233,258,150,185
"5272",2356,2959,1784,1445
"5269",1048,1390,1663,1675
"401232",44,54,64,129
"105374888",14,24,15,35
"4835",901,1112,895,1664
"401233",335,408,315,436
"101927759",22,36,25,19
"8737",952,1175,1046,450
"107986556",14,18,10,10
"670",333,451,540,409
"7280",1366,1634,722,941
"347733",417,577,230,320
"389362",451,521,597,387
"63027",1110,1289,777,524
"643327",40,51,33,31
"221749",249,346,212,185
"26240",28,13,11,7
"8899",2754,3527,2325,2375
"404220",434,558,527,521
"10455",773,1030,847,822
"9425",1014,1124,971,876
"105374897",20,48,23,31
"10799",136,169,213,124
"100129461",72,72,88,44
"57128",378,482,491,437
"648791",21,25,31,11
"10667",164,241,326,226
"105374898",26,17,24,18
"101928004",18,24,39,30
"6239",1641,2087,2243,2386
"6745",3652,4614,3188,2947
"83732",693,852,747,602
"101928076",208,207,182,147
"1832",7569,9877,8328,6385
"154007",1205,1530,908,851
"654",329,319,181,162
"100526836",2686,3457,2083,2121
"81567",2865,3805,2142,2171
"100526837",430,502,395,360
"63915",163,211,107,167
"9521",426,488,450,305
"100124533",12,37,18,18
"51000",347,384,380,251
"7020",470,585,442,304
"109729173",74,90,64,53
"100130275",46,72,51,37
"101928106",12,16,17,9
"2651",6,26,17,6
"347744",24,51,62,41
"55003",511,749,696,341
"51522",1592,1983,1458,1327
"81853",1899,2399,1535,1047
"4117",197,218,178,150
"9247",8,11,14,8
"221711",199,272,262,292
"101928191",19,18,15,16
"54898",31,32,30,51
"221710",993,1364,456,449
"405754",21,14,19,9
"4739",44,39,22,14
"100113407",212,279,138,131
"84830",15,21,12,39
"3096",447,634,440,453
"1906",10,27,25,6
"221692",38,57,29,18
"107080638",156,216,122,89
"100130357",33,48,25,15
"51256",154,209,119,84
"54438",524,696,386,487
"105374937",30,38,24,17
"23408",246,319,481,298
"105374938",28,40,58,42
"51406",1659,2334,1602,1169
"10048",1586,2139,1214,1127
"63933",1359,1731,1294,1104
"107986571",108,109,86,76
"221687",481,531,425,283
"9308",317,418,260,106
"101928331",6,12,18,26
"3720",2103,2686,2765,2390
"100506681",11,16,17,9
"84062",369,513,383,283
"105374947",31,34,18,18
"29116",278,340,235,129
"2766",702,849,578,370
"6310",1611,2025,1415,1424
"101928433",147,222,127,77
"221662",564,660,257,89
"10486",190,284,203,105
"51439",1181,1365,1151,1113
"9972",2414,3165,2133,2016
"105374952",221,276,180,157
"63971",1082,1366,1175,724
"7172",1060,1286,783,537
"221656",1250,1702,1126,1012
"7913",3958,4904,2559,2353
"255488",83,109,99,47
"3400",4,23,11,2
"154141",552,805,321,324
"1871",1493,1602,1488,1121
"54901",328,515,374,382
"105374968",12,10,12,16
"107986578",23,36,23,24
"6659",1872,2317,5003,1002
"57380",1296,1722,1105,917
"2822",374,459,405,262
"7915",256,324,458,165
"9856",116,175,117,189
"51567",801,1078,833,546
"55856",509,701,695,841
"81688",3621,4440,4511,4341
"51053",1016,1324,757,734
"105375106",14,5,7,12
"55604",1249,1488,1238,704
"10475",699,846,738,696
"3006",224,259,352,148
"108783645",17,25,28,17
"3077",169,244,315,175
"8347",18,25,13,17
"8334",77,88,165,69
"3017",83,113,216,86
"8351",15,9,10,7
"8367",6,16,11,2
"8353",33,11,17,10
"11118",335,405,420,381
"10385",534,634,430,417
"11119",206,274,287,271
"54718",72,133,77,56
"10384",79,74,97,121
"11120",473,490,352,328
"285819",11,6,4,14
"696",13,10,20,3
"10473",1726,2158,1742,1643
"29777",935,1234,933,846
"79692",426,486,611,366
"387036",37,49,27,19
"100133205",3,3,10,10
"8969",7,13,20,2
"85236",318,484,581,211
"10279",155,190,218,235
"7754",341,390,341,396
"346157",59,78,67,88
"7738",155,240,205,263
"105375001",39,66,41,31
"100507173",142,171,132,167
"8357",14,13,16,6
"8363",7,15,13,5
"8362",11,15,19,5
"8341",22,24,26,10
"102724889",21,27,21,39
"7718",172,186,123,223
"221584",112,119,81,64
"100129195",70,89,79,46
"80345",75,99,95,64
"7745",1289,1695,1612,1290
"651302",55,45,41,116
"222699",13,27,33,14
"7746",273,327,241,194
"387032",124,181,151,110
"7741",267,311,213,192
"84547",228,299,191,205
"64288",110,150,188,138
"80317",439,634,423,431
"9753",38,45,31,31
"5987",1296,1530,1885,1426
"414761",12,13,8,4
"7932",19,40,48,24
"2550",1665,2096,1643,2077
"3134",681,1002,633,911
"285830",173,214,114,257
"340198",10,8,8,11
"54435",15,39,14,45
"352962",23,36,23,57
"105375010",12,15,19,5
"3136",793,1129,928,926
"80868",51,43,55,91
"3105",9188,11885,9616,8594
"10255",8,9,14,11
"80862",154,197,153,136
"3137",245,190,211,272
"30834",245,322,335,233
"6992",571,682,760,830
"80352",131,165,145,151
"11074",3,12,16,10
"10107",52,60,93,43
"89870",279,336,279,137
"7726",1018,1409,1278,863
"414778",20,24,31,13
"3139",100,144,59,72
"414777",592,681,803,329
"56658",264,319,316,257
"202658",339,371,304,292
"79897",283,288,234,233
"3133",3912,4888,3810,3725
"2794",2648,3211,2616,2328
"80742",259,368,402,248
"107986587",31,48,28,15
"23",2304,2717,2248,1571
"5514",2515,3093,3120,1170
"28973",1339,1567,1652,1507
"79969",413,543,347,547
"221545",345,475,344,440
"8449",2441,3118,2043,1679
"170954",979,1245,1491,1352
"11270",254,370,262,228
"9656",1932,2368,1683,1610
"106478956",262,309,231,197
"203068",23886,30545,27100,18715
"10211",1528,2154,1489,1447
"105379695",2054,2615,2362,1692
"8870",8311,10640,9649,6838
"401247",10,16,21,10
"780",6626,8588,8520,5792
"100616237",14,5,12,15
"2968",981,1294,1115,692
"57176",1102,1193,896,777
"170679",129,127,167,147
"1041",80,103,116,95
"170680",41,79,56,46
"54535",1024,1308,856,1141
"6941",546,671,306,299
"5460",25,17,15,10
"253018",20,41,26,60
"3107",8556,11270,8081,10220
"3106",3880,4953,3601,4372
"101929072",68,112,80,64
"100507436",1414,1735,898,1091
"10866",197,245,148,125
"352961",25,25,13,4
"102725068",55,71,48,23
"4277",2293,2889,1099,568
"100532737",2691,3338,2971,2685
"7919",2678,3319,2956,2665
"692233",29,18,7,34
"692199",64,42,59,61
"106478957",22,18,13,11
"534",23,39,35,56
"4795",334,417,456,527
"100287329",13,26,26,16
"4049",13,23,32,19
"4050",11,9,12,18
"7940",3,22,11,17
"7916",8744,11251,9058,7341
"7917",7354,9421,7459,6481
"55937",328,454,339,270
"57827",262,319,371,191
"7918",537,754,659,526
"1460",1897,2443,2080,1538
"58496",218,216,191,285
"80741",10,9,12,6
"105375019",29,44,22,26
"7920",523,629,438,370
"105375018",20,36,20,14
"80739",27,29,23,27
"23564",589,802,592,974
"1192",6069,7618,7094,5754
"100532732",878,1209,728,1383
"4439",777,1078,632,1181
"401251",101,130,92,194
"80737",355,493,317,728
"104413891",50,84,53,119
"7407",5730,7345,6539,5155
"57819",584,706,693,520
"3305",21,15,19,23
"3303",2412,3063,2737,1771
"3304",4552,5995,5127,3318
"50854",1857,2467,2594,4051
"26801",113,109,127,127
"26797",49,49,53,55
"4758",1383,1802,662,680
"80736",10,15,11,7
"10919",2029,2728,1941,1519
"107986588",283,368,241,180
"717",56,69,81,39
"221527",63,118,146,54
"629",33,48,37,26
"7936",1181,1527,1109,1102
"6499",1117,1430,1163,956
"1797",276,346,239,284
"8859",256,314,237,278
"720",56,56,45,72
"7146",28,25,19,34
"721",55,60,52,83
"1589",12,12,18,9
"7148",436,511,396,578
"1388",1398,1803,1522,1738
"63943",183,245,236,167
"80863",109,139,166,278
"100507547",77,123,86,134
"9374",360,541,331,556
"100532746",413,660,390,690
"80864",220,373,220,399
"10554",927,1147,1298,865
"102466190",98,120,120,80
"6048",1021,1337,1030,1120
"177",113,184,152,254
"5089",1595,2066,2362,2234
"63940",69,65,42,21
"4855",12,26,19,10
"3122",113,102,49,31
"3127",11,13,12,4
"3123",61,102,47,26
"3119",20,36,24,16
"106480429",14,20,10,7
"3120",32,24,30,10
"3112",16,34,27,27
"6891",2467,2933,2252,1646
"5696",24,13,13,21
"100507463",127,159,147,113
"6890",1189,1322,1224,1033
"5698",281,302,111,108
"100294145",266,319,237,115
"3109",90,127,82,39
"3108",224,252,250,256
"6046",6599,8335,7532,5516
"3111",8,19,11,4
"3113",34,53,5,17
"3115",33,32,12,6
"1302",259,396,425,427
"6257",1332,1714,1938,2580
"7922",2835,3890,4018,3537
"7923",247,314,344,666
"6015",1491,2014,1417,1637
"105375022",22,25,11,16
"414765",113,150,229,136
"6293",958,1150,1028,943
"6222",32225,42627,41416,39776
"8705",15,30,8,40
"9277",1525,1908,1732,1025
"10471",1260,1545,1329,1213
"102465501",14,12,13,9
"5863",1091,1355,1200,1464
"6892",2447,3174,2634,1589
"9278",329,379,466,314
"1616",1650,1956,1841,1396
"3833",2680,3268,1338,1907
"5252",981,1368,848,2106
"51596",1406,1965,1386,1357
"8831",621,916,642,806
"100847012",20,20,24,15
"221504",440,595,563,336
"578",802,1036,772,766
"449520",5,14,8,12
"3710",10942,14092,9687,11858
"101929188",50,49,60,52
"84300",516,613,458,511
"100500873",25,14,18,39
"221496",1390,1686,1050,1274
"2914",120,171,95,82
"3159",76011,96889,61360,61486
"102465502",261,134,91,97
"221491",339,397,477,528
"11165",1768,2329,2951,2651
"100529239",6308,7969,9142,7499
"6204",5933,7520,8583,7004
"29993",203,309,202,116
"25803",10,4,7,19
"64771",1968,2541,2485,1928
"101929243",146,198,158,145
"6631",1390,1860,1657,1297
"54887",1029,1375,1106,826
"6882",565,734,524,542
"23294",1250,1637,1620,1248
"222663",53,54,67,72
"101929285",24,28,47,23
"7629",714,984,876,923
"50619",960,1307,1029,1012
"5467",2528,3232,2503,3824
"2178",552,751,483,489
"4736",14876,20159,18593,16142
"102465668",12,15,10,9
"7005",885,1163,1019,893
"2289",1864,2494,2727,1562
"285847",12,13,25,27
"221481",33,39,55,47
"222662",7,20,18,9
"6732",2390,3327,2650,1743
"1432",1392,1778,1561,865
"5603",1324,1719,1726,1621
"102723648",28,26,37,68
"27154",796,943,833,458
"51513",40,41,22,7
"222658",1269,1493,1473,1498
"11329",822,1036,1089,504
"6428",4955,6021,5339,1967
"1026",13007,16902,17781,18023
"401258",32,17,21,11
"57699",17,19,9,14
"221477",2377,2941,2334,1465
"51645",519,579,716,560
"221476",9,12,10,6
"23787",4527,5858,4760,5126
"221472",12,11,12,17
"5292",1437,1855,794,2005
"221468",52,65,41,39
"55633",455,506,337,286
"9025",658,860,696,465
"107986531",53,74,55,53
"23070",1431,1664,1049,1019
"154467",248,350,230,161
"266727",862,1137,763,1074
"60685",1475,1881,1837,1569
"114781",572,639,701,278
"105375044",20,23,22,8
"2739",7225,9192,5193,5515
"55776",281,306,260,185
"8645",349,464,373,248
"23500",20,16,12,10
"4337",291,447,307,176
"222643",105,143,103,269
"222642",13,13,14,58
"10930",13,16,16,38
"221443",424,568,543,493
"4800",833,1045,912,867
"221442",66,65,78,110
"101060264",26,24,30,62
"116113",770,901,1503,846
"4188",729,1023,599,625
"7942",237,322,189,245
"10817",202,274,216,207
"29964",304,376,475,318
"100188893",2446,3128,2500,2109
"25862",867,1028,657,967
"9477",434,519,336,508
"705",788,1057,1061,626
"896",1389,1873,807,599
"129685",1008,1279,826,806
"647024",701,838,688,606
"2979",294,335,183,447
"55173",1449,1805,1503,1269
"55809",1121,1354,883,510
"105375061",54,58,59,45
"107986596",10,18,15,8
"23304",1427,1726,1481,1479
"6903",442,533,451,293
"23506",591,645,879,567
"401261",14,28,28,15
"285855",3053,3896,4138,2828
"441150",69,86,52,76
"10695",829,1002,928,834
"107080644",254,313,270,212
"27232",30,25,13,5
"5190",552,788,1076,1056
"4201",1172,1549,1313,1315
"5528",1515,1640,1458,1378
"116138",1002,1226,1857,1644
"88745",918,1123,1028,602
"9820",1355,1727,1936,2797
"51069",1209,1691,1157,1228
"89953",268,283,223,441
"112267958",23,35,26,48
"5754",4685,6051,4196,3652
"6722",1377,1892,1371,1281
"23113",1325,1845,1662,1675
"10591",1592,2175,2000,1863
"24149",1189,1481,883,819
"89845",1178,1469,1222,985
"65989",79,78,87,38
"107986597",7,13,18,3
"93643",1070,1415,981,878
"221424",45,51,54,61
"25844",1364,1811,1824,1017
"9533",849,1161,1234,778
"57510",2149,2717,2715,2000
"5429",1653,1960,1166,1135
"54676",1592,2003,1328,2254
"9587",490,641,414,294
"221421",216,337,265,117
"55168",599,804,604,272
"7422",2641,3376,1847,3935
"101929705",274,328,229,380
"221416",610,879,589,808
"64928",1079,1441,1101,731
"55362",1710,2133,2069,1606
"107986599",264,325,329,329
"2030",1684,2253,2019,1717
"3326",60767,76529,66424,65108
"347734",1165,1603,1184,932
"100616124",43,54,44,42
"4794",415,566,295,248
"202500",31,41,32,26
"57505",841,960,706,490
"988",1368,1873,1213,885
"101929770",13,14,22,17
"8464",159,191,219,240
"860",277,315,251,132
"53405",81,95,50,23
"22875",860,1088,672,382
"59084",248,437,275,313
"10231",67,78,73,40
"51302",45,45,52,33
"9481",259,340,310,336
"221400",88,137,123,105
"7941",175,233,201,122
"266977",821,1127,2354,615
"27242",1920,2358,1835,1360
"23607",2344,3054,2110,1427
"442213",61,48,162,69
"4594",573,713,473,574
"55166",552,768,234,324
"135398",260,430,724,550
"4172",3503,4341,2873,2703
"85315",246,296,342,238
"114327",346,450,258,325
"9697",2629,3372,1781,1099
"107986603",9,18,11,18
"401264",104,129,113,102
"730101",109,154,115,96
"28978",1366,1719,912,830
"2941",29,51,37,36
"125050",28,33,30,32
"22858",790,919,627,396
"26268",1242,1487,1058,942
"60481",2782,3519,2302,2860
"647190",10,18,7,9
"2729",2020,2814,2081,2421
"105375095",14,23,24,55
"401265",44,65,67,36
"55227",1113,1335,891,667
"222584",518,578,537,476
"667",7190,9215,8049,6888
"101930010",10,15,9,11
"221336",115,106,117,169
"57691",287,408,294,226
"26036",1633,1936,1354,1185
"101927211",10,16,9,7
"9532",895,1062,929,833
"51715",537,659,423,269
"5558",1124,1389,860,789
"375513",97,149,156,146
"106660613",30,40,36,26
"106660612",50,100,88,17
"51557",26,31,36,6
"7803",4550,5697,9097,5868
"23469",1771,2405,2021,2164
"346007",39,51,57,44
"112935969",11,12,5,1
"441155",51,82,56,52
"55788",339,436,477,311
"57579",711,815,698,456
"135154",132,168,160,145
"60682",119,161,116,87
"135152",73,99,62,64
"79627",832,1122,843,801
"100129128",111,147,82,82
"80759",182,238,195,138
"112267961",16,17,9,6
"25821",583,778,616,665
"1915",203340,259355,317125,300095
"26503",1484,1887,1457,1239
"101928489",119,174,130,114
"135228",5527,6937,6450,5255
"1303",6435,7963,4017,1743
"1347",2332,3101,2385,2292
"55754",3129,3987,3609,2172
"100506804",16,14,19,16
"27145",10,31,17,41
"26054",1421,1843,1714,1091
"4646",4264,5157,4040,3483
"3617",43,43,45,64
"105377862",6,9,14,14
"101928570",11,7,22,10
"107986613",5,9,16,14
"134728",154,229,227,116
"55023",2101,2635,1844,1728
"9324",898,1215,620,593
"100288198",231,320,185,124
"100506851",18,23,15,10
"167691",130,169,135,89
"83699",506,607,487,248
"7272",1711,2026,700,1163
"594",467,533,539,598
"55603",1057,1268,1237,626
"25998",1612,1911,1728,1927
"7162",1091,1517,907,792
"90025",142,205,204,71
"23033",572,745,591,496
"5238",1295,1690,1303,1085
"112611",286,293,222,238
"4199",672,922,1412,1604
"167681",40,64,28,12
"51167",877,1025,722,550
"112609",77,71,69,23
"22832",196,269,194,96
"9096",483,545,368,356
"101928820",21,25,25,8
"4907",4592,5847,3573,3268
"57231",2130,2731,1754,2311
"10492",7900,10038,8160,6714
"387066",1341,1639,1132,1914
"26799",11,15,9,12
"692088",36,47,32,45
"23036",2220,2990,1098,2052
"375519",10,21,8,4
"57150",160,203,169,103
"206412",27,55,48,24
"63914",37,41,50,21
"154313",26,19,26,24
"10559",940,1158,759,817
"57038",828,1077,945,848
"23595",945,1177,955,1033
"55122",860,1253,792,641
"8732",1388,1755,1151,1082
"10957",770,999,820,903
"135293",1559,2015,1595,1430
"101929004",21,7,16,14
"2570",84,99,50,55
"51465",835,1035,887,584
"58528",983,1219,912,783
"22881",449,574,411,294
"105377887",36,55,52,39
"57226",602,735,665,286
"101929057",128,174,172,122
"23195",3435,4500,3939,3040
"9994",925,1073,703,576
"60468",416,534,315,359
"6885",1710,2090,1605,1289
"79694",496,492,421,237
"10690",1,5,10,18
"100861530",168,171,290,278
"23376",1180,1506,611,1213
"81491",358,442,247,151
"29078",429,515,443,298
"114792",218,250,147,175
"253714",1062,1333,639,650
"26235",642,814,840,767
"84553",70,76,103,41
"51805",317,424,297,224
"25957",3141,3795,3158,4366
"101927365",140,160,149,214
"100130890",374,431,286,358
"85015",829,1190,820,800
"892",2015,2590,2158,2161
"105377911",25,33,50,12
"10973",1962,2480,1948,1630
"2898",27,22,19,19
"57531",659,892,515,716
"11149",226,285,183,86
"64208",201,288,231,237
"105377920",79,103,112,59
"5550",1574,1883,2018,1168
"639",159,201,129,205
"9474",1001,1282,949,1056
"202",975,1258,951,850
"105377924",15,21,25,21
"84816",255,356,259,182
"55278",449,627,551,378
"100133941",249,285,272,153
"51250",197,251,247,152
"57673",150,230,316,61
"57107",250,277,317,272
"55084",198,241,247,132
"11231",1346,1698,1220,1391
"28962",513,676,257,168
"8724",2693,3480,2389,1813
"246269",49,75,78,84
"2309",3377,4233,2358,3383
"84071",68,111,75,79
"27244",543,670,447,536
"285753",626,907,448,456
"221262",30,53,40,45
"101927538",17,12,23,9
"8763",3481,4614,4357,3403
"285755",74,109,150,108
"6610",205,332,295,145
"64780",1465,1726,1175,1216
"9841",439,541,566,290
"221264",81,113,97,71
"9896",645,799,655,492
"8936",806,995,513,364
"51362",1050,1338,1071,754
"23097",826,1063,734,707
"262",1962,2551,2781,1985
"112495",229,343,421,162
"84154",701,970,1040,665
"117247",324,394,344,276
"91749",396,514,441,348
"5980",1018,1260,1049,925
"643749",68,71,48,44
"10758",287,348,345,235
"2534",496,627,358,431
"105377945",123,126,81,92
"102724646",36,53,24,42
"8838",20,23,16,12
"51175",443,527,334,320
"619208",144,146,141,112
"3910",39,58,114,47
"4082",1681,2310,1916,1588
"3066",3395,4336,3800,2878
"101927768",11,14,18,16
"2444",311,334,613,171
"221294",1067,1319,1150,1094
"1300",22,39,28,28
"23270",271,388,473,198
"29940",1176,1391,1210,1091
"112267965",21,18,26,21
"7259",2042,2501,2442,2020
"100287467",94,114,88,66
"254228",24,32,15,3
"51389",537,731,714,594
"345895",44,31,29,17
"221302",379,542,437,534
"3841",373,564,336,429
"285761",1089,1230,730,681
"57120",1432,1796,1437,885
"101927919",9,17,16,4
"116150",1646,2283,1871,1486
"387119",282,366,227,250
"105377971",10,12,5,12
"254394",275,365,338,240
"25842",433,528,418,434
"79632",50,56,51,31
"4121",2901,3589,4430,2058
"105377977",15,12,18,10
"221322",452,548,616,580
"3298",508,635,603,733
"57515",2025,2688,2449,1888
"5570",459,617,589,375
"10924",89,154,92,77
"7955",57,45,48,29
"154214",991,1300,831,813
"7164",733,916,912,673
"51020",956,1268,855,840
"135112",473,602,409,294
"135114",647,827,600,481
"60487",842,972,1148,1127
"101928096",115,142,193,185
"387103",407,526,244,227
"105377992",11,15,9,9
"81847",761,972,878,560
"55862",960,1268,1034,585
"105377994",9,19,6,19
"387104",58,91,47,48
"9729",22,22,18,14
"107986642",5,12,13,5
"5796",1096,1365,1034,782
"101928140",67,77,61,51
"3908",104,110,155,86
"102723409",36,51,86,44
"93663",1431,1822,2443,2526
"84456",764,984,1126,739
"154075",177,153,283,201
"112267974",4,12,12,22
"114801",406,581,831,502
"2037",3136,3809,2646,2242
"9465",139,139,115,81
"9439",979,1191,1100,647
"79541",52,68,70,99
"643854",41,50,36,20
"5167",443,558,314,254
"1490",306,390,67,56
"26002",73,119,29,31
"8417",1603,2061,1566,1452
"116843",529,779,878,552
"6206",17471,22763,22580,19007
"594837",10,32,39,26
"594838",22,21,13,21
"594839",33,30,46,45
"2070",9,18,27,21
"100507308",16,24,52,28
"9519",528,635,468,349
"154091",325,415,223,292
"6446",266,369,260,152
"64577",90,109,66,115
"10767",1937,2596,1807,1556
"4602",59,89,69,36
"54806",1056,1367,1376,1163
"27115",10,3,39,38
"113115",381,503,239,288
"9774",2969,3624,2973,1670
"9053",1201,1767,1397,1507
"4217",544,723,762,395
"5191",174,205,215,154
"53832",11,31,19,13
"3459",770,939,373,642
"7128",374,442,187,176
"64065",3945,4876,7063,4937
"57221",1528,2091,1004,1525
"23593",1269,1586,1255,881
"57224",258,382,513,318
"441172",31,35,40,34
"100507462",40,49,31,56
"25901",298,308,242,270
"345930",30,32,21,23
"85021",1139,1543,1280,672
"58527",661,784,853,198
"51696",848,1160,566,891
"10370",1953,2387,1519,939
"102723724",124,158,219,166
"51534",1559,1956,1969,1342
"57211",2409,2829,3210,1769
"3097",1092,1352,482,982
"107986655",25,19,7,20
"51390",737,920,884,750
"107986656",17,13,16,24
"134637",881,1028,1275,1029
"8504",482,588,450,372
"2519",1462,1635,1701,1325
"105378035",10,10,18,11
"9749",885,1099,1060,593
"84946",841,1129,983,525
"5325",1172,1393,1017,833
"57061",115,101,71,59
"83443",1209,1665,1312,1013
"8676",210,263,117,151
"7402",1822,2182,1365,1009
"7957",73,88,84,69
"100507557",58,78,71,49
"84085",681,902,827,633
"257218",426,504,560,357
"729176",19,22,15,10
"729178",29,29,22,15
"134957",525,640,677,282
"389432",342,385,804,294
"23328",712,1059,640,392
"10090",330,421,530,398
"100128176",10,21,20,20
"105378046",5,19,17,2
"23118",2172,2783,1960,1996
"340152",12,10,28,10
"85313",1045,1349,988,995
"116254",1086,1390,1100,858
"645958",19,21,27,13
"11104",536,691,477,490
"9113",752,1000,801,491
"645967",31,53,34,23
"348995",1729,2209,1500,1373
"5110",2292,3037,1856,2184
"107986660",16,9,27,15
"84918",912,1250,808,1144
"100652739",141,258,135,186
"135250",175,260,156,167
"353091",24,30,24,26
"80328",367,451,237,478
"80329",233,275,161,310
"646024",42,59,39,43
"154064",36,48,29,41
"79465",599,705,503,524
"81706",663,824,330,325
"57480",530,584,453,291
"25902",1929,2625,2744,2698
"9590",103113,131663,166691,102370
"57621",219,301,390,156
"55005",415,539,361,334
"79624",1073,1442,738,639
"2099",14,17,9,2
"23345",509,657,484,198
"26271",951,1277,530,638
"54516",913,1211,878,572
"26575",312,403,255,250
"154043",617,674,644,338
"101928868",38,63,49,42
"22828",1121,1315,1123,657
"26230",289,353,212,173
"51106",627,731,714,757
"49861",52,39,44,50
"57492",1093,1416,1179,783
"115308161",9,18,13,9
"729515",546,620,534,413
"112267967",13,25,25,22
"79683",238,315,317,148
"51429",2916,3868,2513,1927
"8871",2320,3090,2002,1840
"84947",399,570,446,369
"404672",601,736,630,508
"56995",1262,1613,1453,657
"57583",2905,3624,2896,1813
"102465694",11,13,16,10
"6993",2386,2890,1632,2282
"94120",4183,5422,3724,5673
"100500851",55,83,86,161
"7430",51684,67589,39417,60859
"101409257",3063,3911,2136,3391
"100130967",47,63,27,61
"83861",2181,2475,1795,2608
"105378083",69,118,103,178
"117289",35,42,43,72
"107986664",14,11,8,9
"84624",29,15,8,3
"6648",1961,2145,2512,1313
"9589",1224,1706,1396,933
"100129518",123,142,64,55
"39",1521,1955,959,908
"6950",9240,12066,8577,5805
"677812",19,20,13,13
"29074",1540,1956,1181,1133
"154197",8,17,22,15
"3482",4192,5361,4168,2682
"729603",89,107,92,71
"4216",963,1063,863,1219
"56895",999,1369,882,1038
"79992",140,192,76,137
"105378094",7,11,3,18
"5071",10,7,11,30
"135138",8,6,17,14
"9444",1343,1607,673,651
"10846",6,19,13,5
"113402",1250,1585,1392,1103
"100289495",15,20,32,37
"51660",349,321,236,253
"6196",410,538,463,487
"8635",697,919,775,738
"105378120",50,60,40,44
"11116",709,961,693,517
"653483",33,45,32,37
"4301",3141,3938,2984,2521
"107986673",122,149,38,83
"101929484",10,16,21,14
"7058",1,12,13,10
"253769",1270,1505,1442,2030
"387263",621,894,900,566
"55274",809,1025,696,705
"6991",38,81,51,43
"55780",624,632,606,684
"101929614",108,148,256,80
"105378153",186,166,273,101
"28514",242,314,218,260
"84498",1087,1406,1236,896
"112267971",11,8,11,14
"5689",4244,5550,4829,5020
"6908",658,840,600,619
"5134",1487,1886,1943,1213
"102723872",19,33,25,34
"102723672",7,10,14,4
"56975",666,902,598,550
"5154",1226,1576,691,1708
"441307",31,32,11,22
"5575",447,551,495,545
"105375119",21,32,6,32
"54919",1814,2359,2231,1687
"23353",9105,11245,6109,7407
"51608",1284,1794,1324,951
"11033",559,754,742,693
"90639",447,564,506,424
"84310",982,1414,1049,706
"54905",13,10,17,9
"115330",87,112,46,36
"107986755",24,20,25,16
"105375120",17,26,24,19
"2852",20,24,58,23
"90637",208,310,244,207
"101927021",191,187,282,228
"79778",1924,2462,1511,2494
"107986756",10,14,12,14
"26173",6997,8991,6061,5785
"7975",2628,3232,2219,3810
"100128653",194,339,169,290
"202915",1026,1123,989,1501
"84262",728,1029,850,820
"114796",92,116,203,46
"392617",98,144,174,201
"101927125",99,185,289,110
"8379",489,668,614,452
"100127955",32,20,25,12
"105375127",21,45,23,25
"105375126",49,69,26,49
"29960",672,815,820,374
"4521",442,577,358,304
"29886",990,1313,1310,918
"8662",6680,8622,9169,5924
"55501",474,615,754,250
"3955",266,393,172,140
"221927",1905,2298,1725,1559
"23288",919,1164,1497,690
"107986760",9,12,16,5
"80727",2933,3844,2922,1359
"155185",15,15,26,15
"2768",1143,1453,1671,1010
"221937",3183,4308,4389,3682
"9907",555,810,582,457
"55698",195,216,130,111
"441191",320,388,392,344
"100533952",96,99,62,103
"57786",829,982,718,883
"389458",18,34,14,52
"26100",1818,2238,2303,1839
