"","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h"
"7709",856,1192,864,911
"1187",18,28,11,9
"1188",37,46,24,53
"348487",420,515,355,328
"1969",11167,14733,6058,8656
"101927479",163,154,90,57
"128272",1036,1380,1314,1512
"101927546",57,90,89,92
"79363",125,174,150,166
"54455",1001,1262,888,900
"26099",2238,2743,2656,1983
"374955",1112,1397,1403,1079
"55707",1106,1398,1140,671
"107984921",113,115,96,68
"114819",300,412,371,367
"55672",1077,1239,955,768
"105376794",1407,1811,1323,1862
"84809",684,866,652,780
"11209",708,858,602,814
"107985736",37,29,31,20
"284729",153,245,170,209
"11223",173,204,213,292
"112267871",21,17,15,6
"9696",1247,1551,1289,1078
"4237",692,932,801,605
"105376806",166,184,202,174
"23400",2415,3200,2034,1587
"6390",1341,1911,1692,1366
"11240",218,229,136,111
"29943",15,12,3,8
"51702",80,97,23,16
"55920",5187,6897,5820,3686
"55160",608,880,679,539
"81569",8,11,13,3
"127707",16,11,28,3
"8659",490,685,580,472
"126917",1454,1980,1371,1275
"23352",9987,12507,10014,12715
"101927895",140,191,166,141
"23065",2883,3786,3310,2813
"51154",1497,2020,1629,815
"246181",59,47,27,27
"22977",85,91,60,53
"100506730",247,260,156,204
"8574",1459,1781,1419,1126
"54896",309,416,397,291
"832",3289,4313,3150,2812
"440574",664,854,829,658
"100532736",1220,1512,1431,1283
"644068",72,78,44,61
"4681",902,1115,1041,970
"3362",87,68,77,53
"255104",317,377,305,246
"23252",1244,1506,964,1143
"55450",880,1095,663,907
"79594",812,1081,849,637
"978",761,948,648,949
"65018",1385,1810,1258,1462
"102464833",194,290,164,212
"100861548",1492,1829,1544,1362
"1650",6758,8790,8550,6546
"57576",81,88,116,84
"400745",630,820,603,786
"112268222",980,1309,853,751
"50809",4519,5670,3787,3228
"8672",1674,2089,2285,1708
"105376830",8,12,7,11
"1889",2624,3447,3475,2722
"100506801",18,19,10,16
"84224",660,804,583,389
"249",14,11,16,3
"5909",738,867,653,759
"84196",2744,3772,2083,1925
"401944",309,423,470,441
"3339",3917,4876,5104,5199
"101928043",16,18,19,17
"29092",119,163,216,254
"112268223",10,13,10,17
"998",6308,8235,5698,5716
"54361",94,107,71,50
"105376845",17,26,17,15
"105376850",16,14,15,7
"9923",1416,1802,1719,872
"2046",18,21,11,16
"2048",772,1219,926,663
"100422914",24,41,34,22
"23028",4597,6128,3372,2966
"7798",2040,2368,2094,1290
"3352",181,232,168,58
"100996511",94,129,127,101
"10236",4373,5633,3872,2242
"80818",279,385,421,335
"148898",60,72,95,126
"6920",151,162,163,144
"55616",601,855,591,715
"1870",674,816,353,475
"101928163",31,22,15,16
"105376859",22,9,11,8
"3399",789,1064,1040,373
"6135",10892,15147,17902,16650
"6924",1049,1209,1754,1026
"100506963",89,139,149,109
"57095",783,1006,882,804
"105376860",241,285,396,232
"11313",1841,2307,2090,1373
"2582",2357,3031,1796,2634
"3155",784,1103,806,882
"2517",1477,1808,1187,934
"55629",1716,2190,1995,1869
"10772",3721,4877,3299,2670
"107984931",8,10,20,16
"127294",342,408,583,454
"107985737",6,9,12,15
"58985",219,251,115,65
"163702",664,782,303,440
"57822",61,114,22,61
"90529",336,399,291,383
"57185",1019,1252,838,980
"100750325",3,4,10,16
"11123",735,890,881,613
"100506985",38,37,51,38
"400746",177,192,70,91
"10250",5182,6410,3405,3663
