"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3398",3889.20339859723,-1.94875477138031,0.269273068883888,-7.23709496630214,4.58397185855874e-13,2.37831739928223e-09
"1490",192.059580436322,-2.274382389696,0.314229327273902,-7.2379698274105,4.55450728166437e-13,2.37831739928223e-09
"23193",9258.23581108824,1.59642599654544,0.2194676053952,7.27408490957345,3.48776569529716e-13,2.37831739928223e-09
"140766",2001.44974183936,1.54862992197147,0.217387292874203,7.12382909551033,1.04969190972337e-12,4.08461364371108e-09
"4092",233.52182594806,-2.33628504123195,0.333141553465002,-7.01288991701057,2.33445128437483e-12,7.26714684825885e-09
"5099",1098.8481495779,1.54739061584116,0.223565279381941,6.92142635081357,4.4711857785818e-12,9.94200094908938e-09
"7057",644.314089747724,-1.65834882045538,0.239320691555438,-6.9294000852042,4.22628993596339e-12,9.94200094908938e-09
"84836",1450.98248433007,1.46279349937275,0.219073608552974,6.67717809112107,2.43586880149863e-11,4.73928723691577e-08
"389136",107.199434231021,-2.69376150218927,0.411141008778952,-6.55191636122478,5.68033558831887e-11,9.82382482579813e-08
"4804",703.93160181057,-1.57855257204365,0.246806850665903,-6.39590257638551,1.59601745479911e-10,2.48420116839482e-07
"5142",1600.9635349663,1.65285862186998,0.262135780697117,6.30535296430884,2.87537860741343e-10,4.06866072949e-07
"399959",1567.17939474686,1.52246890806835,0.245313853744848,6.20620843391858,5.42781793847397e-10,7.04033218436227e-07
"9498",187.374075307844,-1.98108678024883,0.320591484177755,-6.1794741221211,6.4315474923338e-10,7.70054128601351e-07
"57613",927.171244923097,-1.39581894473437,0.229591369237816,-6.07957933857937,1.20498248997728e-09,1.33968231832117e-06
"8848",7427.94354644637,1.41614089625127,0.236971678364551,5.97599217773489,2.28693973728969e-09,2.37308113406093e-06
"4929",723.259695199776,1.36129356840794,0.229414071430785,5.93378409579661,2.96031065836976e-09,2.71187727991544e-06
"51421",1975.02666321795,-1.29121901595926,0.218404941394843,-5.91204121899849,3.37893950982002e-09,2.71187727991544e-06
"221",600.594755844928,1.38566360242229,0.234231451793954,5.91578796019763,3.30290495401702e-09,2.71187727991544e-06
"3860",164.765037337592,2.9531819265868,0.498399445486425,5.92533148527998,3.11668045731199e-09,2.71187727991544e-06
"7171",7509.52247052284,1.52427960501094,0.258047654025942,5.90696943463669,3.4845837197757e-09,2.71187727991544e-06
"9957",1764.76669404206,1.20201153157543,0.206990421462634,5.80708770522706,6.35688415885481e-09,4.71166199678929e-06
"22927",925.549198609992,1.31080390328443,0.231431147596136,5.66390443507577,1.47966834638506e-08,1.04686535506743e-05
"760",829.627271216159,-1.2666157886575,0.22592595521992,-5.60633145237589,2.06660029652648e-08,1.39854928762759e-05
"131583",568.806394697648,-1.43412416189546,0.256998116148596,-5.58029056160961,2.40117124016991e-08,1.55725959805186e-05
"100287569",350.387974758279,1.79082958172437,0.322209168417655,5.55797214126153,2.72926932771537e-08,1.69924308343559e-05
"631",254.439336585153,1.59679412176434,0.28967759993468,5.51231480143582,3.5414475742609e-08,2.10894130650985e-05
"56993",1226.1942833504,1.22913107469958,0.223210517756239,5.50660016855421,3.65829844367273e-08,2.10894130650985e-05
"63967",1371.17051821979,-1.15834352104562,0.213245352799927,-5.43197544910818,5.57335920040872e-08,3.09819056979863e-05
"55789",846.720945463371,-1.27371507530998,0.23478807988702,-5.42495630920823,5.79687176278701e-08,3.11132099957861e-05
"57552",967.133921216764,-1.36889588358629,0.25340320820652,-5.40204638005475,6.58849085532474e-08,3.41832867210432e-05
"79991",1963.12685357078,1.30423119978286,0.242730247573952,5.37317129949163,7.7363768462004e-08,3.88440985842288e-05
"10769",3007.17359599028,1.10237874165923,0.206264693226211,5.34448588566853,9.06740409004739e-08,4.27679226247235e-05
"22836",3066.4972654714,-1.10800361670371,0.207316481239007,-5.34450329313826,9.06653279767724e-08,4.27679226247235e-05
"157570",798.762120262884,-1.27737650449105,0.242606877949801,-5.2652114205738,1.40028116568445e-07,6.30893738162396e-05
"730755",457.614668143392,1.57529238213633,0.299324953938339,5.26281675286197,1.41864958790131e-07,6.30893738162396e-05
"105375503",207.077121836575,2.983698705593,0.568183940942815,5.25129010271216,1.51037579592618e-07,6.53027757321974e-05
"27113",995.400196985926,1.43690875360341,0.275024003666897,5.22466669979746,1.74469087038856e-07,7.33949010745891e-05
"374946",161.896202999889,-1.81117339149618,0.348993248250978,-5.18970897165805,2.10623010672892e-07,8.2893109898922e-05
"106635533",1285.33490581736,1.25222378095195,0.241307790680638,5.18932180937839,2.11061365331462e-07,8.2893109898922e-05
"126731",1011.38694994931,-1.15819973261454,0.223293038312419,-5.18690480172539,2.13817959569847e-07,8.2893109898922e-05
"4277",1623.13500031686,-1.43839632154573,0.277522186663405,-5.18299577716396,2.18349984314539e-07,8.2893109898922e-05
"51384",5545.50914487239,1.58495009759817,0.307461861505204,5.15494861651757,2.53700486857757e-07,8.97465472259317e-05
"9221",5819.85881415903,1.01805293154614,0.197460641201236,5.15572584669481,2.52650318881002e-07,8.97465472259317e-05
"114794",2481.90753449277,1.12990926523166,0.21886999800765,5.16246756301505,2.43715616392374e-07,8.97465472259317e-05
"27074",170.620749497437,-1.63228669772272,0.317743936517041,-5.13711360038867,2.78990321962939e-07,9.64996524745143e-05
"219790",606.218560793582,-1.43047122791108,0.282323081265979,-5.06678809786517,4.04584232871162e-07,0.000136898990970427
"80854",2337.68344912529,1.31219723617372,0.259792101291989,5.05095124004135,4.39615290064422e-07,0.000145587489145803
"2736",464.47068780349,-1.28429083314915,0.255063447180242,-5.0351818237664,4.77395473147422e-07,0.000154805427907076
"6623",899.868442257744,1.15388944577025,0.231146493008387,4.99202661806505,5.97490182910488e-07,0.000182351660725524
"25984",423.111011493343,2.14103874665936,0.428445881409325,4.99722097833372,5.81624060713836e-07,0.000182351660725524
"10493",5564.87175083728,0.994218328462678,0.199157336224637,4.99212505705168,5.97185660231984e-07,0.000182351660725524
"840",892.163372638168,1.13558999478152,0.229719569103206,4.94337508647918,7.67815538543149e-07,0.000224265062560501
"26472",2633.09036366112,1.01130495729626,0.204684672674463,4.94079475557349,7.78047759605979e-07,0.000224265062560501
"7077",5285.67285734375,-1.34536750682626,0.272148351987867,-4.9435078221096,7.67292700406823e-07,0.000224265062560501
"285362",681.811857320938,1.14111050368563,0.23116214500615,4.93640731554586,7.95748275593467e-07,0.000225196761992951
"286467",165.535277565198,1.62249128064713,0.331576623248068,4.8932619698985,9.91782484827671e-07,0.000275662399577548
"6272",1150.02770911478,-1.04751127713464,0.214939908752401,-4.87350759202802,1.09634052620619e-06,0.000292496388132521
"221710",780.28176443601,-1.1398028749038,0.233958268310032,-4.8718213001704,1.10574160500898e-06,0.000292496388132521
