"","HT-29 cells control sample-1","HT-29 cells control sample-2","HT-29 cells control sample-3","HT-29 cells control sample-4","HT-29 cells treatment sample-1","HT-29 cells treatment sample-2","HT-29 cells treatment sample-3","HT-29 cells treatment sample-4"
"PAFAH1B1",85.2538722038295,79.1036476567454,87.3342597509151,85.248937330152,83.5318716005547,80.1717117976295,109.577675770872,95.2939337108908
"MT1X",130.388275135269,114.796756965277,106.241676810392,102.886648501908,164.921900339557,156.284096415632,144.129195158084,150.060562280368
"LOC389831",26.0776550270537,26.0463230089284,28.8113021858689,24.4968210718828,23.5602714770795,23.3411312828541,23.6924704369454,25.1926491419596
"TMEM191B",156.465930162322,146.631151753967,147.657923702578,151.880290645673,280.581414863402,267.915593855369,255.681243465369,250.831158848207
"RNF13",131.391261867078,144.701794494046,155.761102442354,136.202325159668,159.567293185675,166.432414364699,169.796038131442,157.727890280095
"PICALM",22.0657080998147,26.0463230089284,24.3095362193269,20.5773297003815,37.482250077172,41.6081035911748,43.4361958010665,40.5273051414133
"SSFA2",137.409182257937,138.913722714285,149.458630089195,117.584741145037,89.9574001852127,98.4386841059501,110.564862039078,107.342591996176
"DNAJA4",63.1881641040148,66.5628254672613,62.1243703382798,51.9332606723914,41.7659358002773,40.5932717962681,53.3080584831271,50.3852982839193
"ACIN1",48.1433631268684,44.3752169781742,45.9180128587286,45.0741507722643,44.9787000926064,42.6229353860815,48.3721271420968,46.0039679983611
"MAP3K9",17.0507744407659,19.2935725992062,18.9074170594765,19.5974568575062,36.4113286463956,35.5191128217346,39.4874507282423,37.2413074272447
"SORD",26.0776550270537,23.1522871190474,28.8113021858689,25.4766939147581,17.1347428924215,16.2373087185072,13.8206077548848,14.2393234280641
"LOC100287813",1.00298673180976,0.96467862996031,0.900353193308403,0.97987284287531,2.14184286155268,3.04449538472011,1.97437253641211,2.1906651427791
"ZNF346",59.1762171767758,62.7041109474201,71.1279022713638,58.7923705725186,67.4680501389095,66.9788984638423,81.9364602611027,76.6732799972685
"FIG4",10.0298673180976,10.6114649295634,11.7045915130092,10.7786012716284,10.7092143077634,11.1631497439737,10.8590489502666,12.048658285285
"ZSCAN21",5.01493365904879,4.82339314980155,5.40211915985042,4.89936421437655,8.56737144621073,8.11865435925362,8.88467641385451,7.66732799972684
"CISH",1.00298673180976,0.96467862996031,1.80070638661681,0.97987284287531,2.14184286155268,3.04449538472011,2.96155880461817,2.1906651427791
"SCXA",12.0358407817171,10.6114649295634,12.6049447063176,13.7182198002543,17.1347428924215,16.2373087185072,18.7565390959151,23.0019839991805
"TUBGCP3",23.0686948316245,26.0463230089284,25.2098894126353,22.5370753861321,9.63829287698707,11.1631497439737,10.8590489502666,9.85799314250594
"FAS",9.02688058628783,8.68210766964279,7.20282554646722,6.85910990012717,4.28368572310537,4.05932717962681,3.94874507282423,3.28599771416865
"XLOC_006644",1.00298673180976,1.92935725992062,1.80070638661681,1.95974568575062,1.07092143077634,1.0148317949067,0.987186268206057,1.09533257138955
"EFNB2",63.1881641040148,69.4568613571423,68.4268426914386,59.7722434153939,201.333228985952,232.396481033635,245.809380783308,236.591835420143
"CYP2S1",78.2329650811612,81.9976835466263,93.6367321040739,106.806139873409,127.439650262385,128.883637953151,139.193263817054,132.535241138135
"HSP90AA1",387.152878478567,415.776489512893,367.344102869828,348.83473206361,227.035343324584,227.322322059101,249.758125856132,219.06651427791
"MPRIP",3.00896019542928,2.89403588988093,2.70105957992521,1.95974568575062,8.56737144621073,9.13348615416032,7.89749014564846,8.76266057111639
"PRPF40B",1.00298673180976,1.92935725992062,0.900353193308403,0.97987284287531,3.21276429232902,2.0296635898134,1.97437253641211,2.1906651427791
"OGFOD2",116.346460889932,117.690792855158,112.54414916355,109.745758402035,145.645314585582,153.239601030912,135.24451874423,124.867913138409
"HRAS",172.513717871279,172.677474762895,179.170285468372,177.356984560431,216.326129016821,208.040517955874,205.33474378686,199.350527992898
"THOC2",38.1134958087708,39.5518238283727,36.0141277323361,36.2552951863865,32.1276429232903,29.4301220522944,35.538705655418,32.8599771416865
