"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.Name"
2.99233887011194,5.08080595082461,1.23926161420881,4.09986551069637,4.13390299219541e-05,0.000200218204127414,"IL10RA"
7.03416125928819,6.31337151503607,1.11676875463773,5.65324870419042,1.57443234746103e-08,1.32264147611379e-07,"LOC100506546"
143.243032265865,7.62760227832788,0.619383985859569,12.3148199702684,7.53832069225663e-35,4.55559055888806e-33,"CYP1A1"
2.73202401516249,4.94954896930169,1.25882159054562,3.93189075121945,8.42803674552333e-05,0.000385906283201164,"PIK3CD"
2.08413603263933,4.55846065703241,1.32522048570098,3.43977527227947,0.000582197391107312,0.00223228356647491,"CLTCL1"
4.81270435696424,5.76647993677129,1.15878044759123,4.97633520548103,6.47993938582922e-07,4.28615296650084e-06,"RASGRP2"
2.21099000700266,4.6444056225184,1.31094394273236,3.54279498239888,0.000395910363364288,0.00157659051199029,"EDN2"
18.1508194300558,5.20172190953674,0.773521918066529,6.72472464974076,1.75924801863757e-11,2.10732780518229e-10,"ADRB2"
6.22987374727748,5.38966041889083,1.13437492806343,4.75121609756651,2.02196900805627e-06,1.23359418881687e-05,"SYNPO"
2.46784917111453,4.80347592936467,1.2875398363822,3.7307396584029,0.00019091843257615,0.000815720283898609,"HES2"
6.36490538755312,4.66859607112787,1.11388125945743,4.19128702587379,2.77376486971409e-05,0.000138234879242512,"CCK"
4.5562494911133,5.68721192067104,1.1772190050856,4.8310568348814,1.35810225968225e-06,8.53010295688062e-06,"SEMA7A"
2.60517004079916,4.88038471866834,1.26852738070975,3.84728370304293,0.000119434639468707,0.000531983772613604,"BEST1"
94.4305147123191,5.68527871074497,0.394516223198986,14.4107602588435,4.42809087110614e-47,4.56978977898154e-45,"FSCN1"
36.8530787859333,5.91653524032061,0.675706542082771,8.75607215831257,2.02172314427794e-18,4.44646519731686e-17,"KREMEN2"
7.79958267797974,5.71895284135242,1.10671431924844,5.16750596055911,2.37238403402508e-07,1.67339138803788e-06,"ETNK2"
2.73967533509496,-4.84159676835395,1.26397113991761,-3.83046464863868,0.000127901508593348,0.000565752271443572,"OR51E1"
6.503064654068,6.20082694977452,1.12531762431683,5.51029044225536,3.5824208199128e-08,2.87107274312724e-07,"LYPD3"
7.15095263659117,6.3379978611544,1.11690743276123,5.67459547250532,1.39016769191835e-08,1.17446409035117e-07,"TMEM121"
2.34485518584971,4.72851199587485,1.29723438858234,3.64507142078028,0.000267317553662287,0.00110860349302418,"NR4A3"
10.0021806704201,5.342691934282,1.07866017463405,4.95308166549726,7.30472994285681e-07,4.7735147059604e-06,"C11orf86"
2.21800121148637,4.64758038804936,1.31171156260579,3.54314204474699,0.000395389673038064,0.00157498451706611,"MAP3K12"
33.5053905738725,4.75153032141552,0.501076942443171,9.48263613617465,2.47938787969981e-21,6.52224858706913e-20,"CHAC1"
33.8167275704649,4.62106070062838,0.487739925572197,9.47443598185475,2.68205697293339e-21,7.04158049880124e-20,"MLXIPL"
11.8080138683996,4.98722820958831,0.900729559436849,5.53687636576112,3.07913745288002e-08,2.49003665267259e-07,"KLC3"
2.5951074437388,4.87654665111847,1.27271901280919,3.83159723555538,0.000127314038570524,0.000563711267809291,"PTPRU"
5.34098750740371,5.16086449171208,1.14378124428878,4.51210799047608,6.41864914674199e-06,3.61969722373647e-05,"NTN5"
3.11268576106105,5.13909758142147,1.23181418851003,4.17197466091666,3.01971224693195e-05,0.000149713449759198,"HOXC12"
6.10888462027151,6.11091581761445,1.1334406861516,5.39147384797257,6.98821306831319e-08,5.36042690248655e-07,"SNX22"
3.11614145189863,5.14022912175834,1.23217887865496,4.17165819898601,3.0239100264162e-05,0.000149810845326439,"SLC2A4"
2.85542229868825,5.014313532871,1.24845543058396,4.01641373014459,5.90904809915867e-05,0.000278943663963099,"JSRP1"
4.02326795474506,4.74154505740683,1.18244865567073,4.00993737416636,6.07348542637952e-05,0.000286102108428047,"FBXO2"
3.51032148569513,5.31146710373764,1.20794459282126,4.39711153582985,1.09700980166849e-05,5.89406627920881e-05,"ABCG4"
9.87911666265515,6.80431994950581,1.08902036441537,6.24811084516186,4.1544681322627e-10,4.25468278339209e-09,"SH2D3C"
2.34485518584971,4.72851199587485,1.29723438858234,3.64507142078028,0.000267317553662287,0.00110860349302418,"C1QL4"
79.1887418487462,6.34809822366263,0.528582249991484,12.0096696848313,3.16105111923644e-33,1.73096578839494e-31,"CEND1"
8.43752799055337,5.83418011771327,1.10089138428832,5.29950565603238,1.16116639367156e-07,8.5972452193696e-07,"FAM46B"
2.59470314547787,4.87633052259967,1.2726497334171,3.83163599108028,0.000127293981247701,0.000563711267809291,"ELOVL3"
2.08413603263933,4.55846065703241,1.32522048570098,3.43977527227947,0.000582197391107312,0.00223228356647491,"TUBB2B"
2.8453597016279,5.0107580344475,1.25628809431938,3.98854216409826,6.64805878074604e-05,0.000310443287861082,"TMEM169"
83.6504910201052,4.52572962619604,0.301393584114205,15.016011835478,5.76750016240572e-51,6.97088127737254e-49,"KIAA0513"
16.6408789786289,7.5564932694004,1.06469387120908,7.097338938205,1.27181886398383e-12,1.68271418927092e-11,"CREB3L3"
29.6090794178353,4.7212914776344,0.530079466866066,8.9067616701843,5.25448500715461e-19,1.20502856164079e-17,"SMARCD3"
3.11614145189863,5.14022912175834,1.23217887865496,4.17165819898601,3.0239100264162e-05,0.000149810845326439,"ASPHD2"
35.0964077931698,4.54615537596291,0.462810335738962,9.82293398591484,8.96942742710376e-23,2.57123586243641e-21,"VPS37D"
