Gene,Disease
AMOTL2,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721
COL12A1,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721
COL5A2,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721
LIFR,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721
PCDH7,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721
PLSCR4,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721
