Gene,Disease,Log2FoldChange,FoldChange,Regulation
PCDH7,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,1.54739061584116,2.9228800322124,UpRegulated
COL5A2,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,1.3039111319156,2.46897312366156,UpRegulated
AMOTL2,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,-1.29121901595926,2.44734758662218,DownRegulated
PLSCR4,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,-1.24894158036734,2.37666996870888,DownRegulated
COL12A1,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,-1.13550126766213,2.19694882982902,DownRegulated
LIFR,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,-1.0449542507579,2.06330092831586,DownRegulated
