Gene
CCNA2
KIF20A
CCND3
TCIRG1
SPSB3
STARD3
SLC19A2
YIF1B
ZWINT
CCNB2
EHD1
LMF2
RPUSD1
TLCD1
CCNB1
PLK4
CDC25C
CENPA
