Gene,Disease
CCND3,X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency ORPHA:319612
EHD1,X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency ORPHA:319612
LMF2,X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency ORPHA:319612
RPUSD1,X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency ORPHA:319612
SPSB3,X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency ORPHA:319612
STARD3,X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency ORPHA:319612
TCIRG1,X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency ORPHA:319612
YIF1B,X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency ORPHA:319612
