Gene,Disease
ABCA7,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530
DYRK1B,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530
HERC1,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530
IQSEC1,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530
KIAA0513,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530
PLEKHM1,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530
SEC16A,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530
SNX29,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530
USP20,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530
