Q12934
P01127
Q7L0Q8
Q9ULW8
Q8N3F9
Q96LC9
Q9UH17
Q8N6N7
Q9UQR0
A6NEE1
O43541
O00625
Q05084
O14792
P49758
Q8NDY3
Q9BX46
Q92831
P48163
Q6Y288
P00918
Q6YN16
Q8NBK3
Q16787
P48552
Q12794
P78329
O75474
Q9NS69
Q9Y2G0
A8MV65
O43623
Q15714
Q8NFY9
P61601
Q9NZT2
O15105
Q9HAW4
P22466
Q01664
Q9NPF2
Q2Y0W8
Q8IZC4
Q9C075
P0C7H8
Q9BYR9
P0CG34
P0DX04
P04732
Q6IN84
Q86WV1
Q07617
P20273
Q96C90
P41273
Q14978
Q9C030
P21583
Q6SJ93
Q5R3F8
Q9UBV4
Q5JSL3
Q96AV8
O15354
Q9HBM1
Q14956
Q8IVL5
Q29980
Q96BI1
Q07973
O76070
Q9UI42
Q9ULC5
Q9UHC6
O43482
O75973
Q6PIU2
Q9UN88
Q99519
Q8WXS8
Q86XJ0
Q99572
O75493
P28065
Q9UP38
Q16613
Q9NZC4
Q8IUY3
P08183
Q9Y2Y0
Q6ZMZ3
Q8N2R8
P10243
Q8IW50
Q9Y251
Q99715
Q96JA1
P07339
P55210
Q9NVA1
Q9BUP3
Q8WTS6
Q6IPW1
P29279
Q9NUK0
P10070
Q9NRQ2
Q8N4X5
Q9H1C0
P21980
Q9H668
Q96RU7
Q02224
P61371
P78357
Q8TE54
Q9Y2J4
Q9HBH9
Q9H7S9
Q9Y2C9
Q14697
P17301
Q56NI9
Q5SZD1
Q6PEW1
O60245
Q86VR7
Q9NZL6
Q96LA8
Q96IU4
Q8IV56
Q5JVS0
O43236
Q9BX66
Q86WC4
Q8TE58
P42702
Q92887
Q9Y250
P07996
P31146
P13646
Q17RY0
Q3KRA9
P0DJ93
Q8NFU7
P17813
O60296
P62736
O15403
Q3KR37
Q96LR9
Q8NCT1
P16104
Q5VX71
Q86YW9
P24385
O95750
Q9BXH1
Q96PG8
Q8NEM2
Q08AN1
Q02363
Q6IQ19
Q96K62
Q9H095
Q9BYT5
P67936
P50225
Q9NYY3
Q96M86
Q7Z692
O43264
O43916
Q9BZ67
P43353
Q9HCY8
A2RU67
Q8N6P7
O15554
Q13444
Q92686
Q13576
O95084
P12757
P16035
Q9UQV4
P08138
P49789
Q07343
Q9BTP6
Q92673
O94955
Q99523
P13521
O14682
P43354
P49685
Q8WUY9
B3KU38
P0DPB3
Q8NBI3
Q99592
O14904
P40424
Q9NPC8
P05997
Q8NFW5
